Epoch: 1, Average Loss: 2.006896, Average IOU: 0.2725
Epoch: 2, Average Loss: 1.664570, Average IOU: 0.3974
Epoch: 3, Average Loss: 1.506588, Average IOU: 0.4523
Epoch: 4, Average Loss: 1.403936, Average IOU: 0.4923
Epoch: 5, Average Loss: 1.329102, Average IOU: 0.5218
Epoch: 6, Average Loss: 1.264802, Average IOU: 0.5455
Epoch: 7, Average Loss: 1.203380, Average IOU: 0.5703
Epoch: 8, Average Loss: 1.148981, Average IOU: 0.5925
Epoch: 9, Average Loss: 1.098509, Average IOU: 0.6112
Epoch: 10, Average Loss: 1.049465, Average IOU: 0.6315
Epoch: 11, Average Loss: 1.000548, Average IOU: 0.6484
Epoch: 12, Average Loss: 0.955058, Average IOU: 0.6674
Epoch: 13, Average Loss: 0.902800, Average IOU: 0.6879
Epoch: 14, Average Loss: 0.858835, Average IOU: 0.7025
Epoch: 15, Average Loss: 0.809386, Average IOU: 0.7222
Epoch: 16, Average Loss: 0.763261, Average IOU: 0.7417
Epoch: 17, Average Loss: 0.714839, Average IOU: 0.7586
Epoch: 18, Average Loss: 0.667999, Average IOU: 0.7778
Epoch: 19, Average Loss: 0.621993, Average IOU: 0.7959
Epoch: 20, Average Loss: 0.577626, Average IOU: 0.8138
Epoch: 21, Average Loss: 0.528885, Average IOU: 0.8328
Epoch: 22, Average Loss: 0.486030, Average IOU: 0.8489
Epoch: 23, Average Loss: 0.445574, Average IOU: 0.8630
Epoch: 24, Average Loss: 0.402754, Average IOU: 0.8810
Epoch: 25, Average Loss: 0.357944, Average IOU: 0.8962
Epoch: 26, Average Loss: 0.325322, Average IOU: 0.9081
Epoch: 27, Average Loss: 0.288500, Average IOU: 0.9217
Epoch: 28, Average Loss: 0.261690, Average IOU: 0.9311
Epoch: 29, Average Loss: 0.226311, Average IOU: 0.9443
Epoch: 30, Average Loss: 0.202796, Average IOU: 0.9521
Epoch: 31, Average Loss: 0.179875, Average IOU: 0.9596
Epoch: 32, Average Loss: 0.158199, Average IOU: 0.9667
Epoch: 33, Average Loss: 0.140740, Average IOU: 0.9716
Epoch: 34, Average Loss: 0.127535, Average IOU: 0.9751
Epoch: 35, Average Loss: 0.114439, Average IOU: 0.9781
Epoch: 36, Average Loss: 0.102784, Average IOU: 0.9811
Epoch: 37, Average Loss: 0.092405, Average IOU: 0.9836
Epoch: 38, Average Loss: 0.082826, Average IOU: 0.9860
Epoch: 39, Average Loss: 0.075602, Average IOU: 0.9878
Epoch: 40, Average Loss: 0.067941, Average IOU: 0.9892
Epoch: 41, Average Loss: 0.060913, Average IOU: 0.9914
Epoch: 42, Average Loss: 0.057784, Average IOU: 0.9915
Epoch: 43, Average Loss: 0.053810, Average IOU: 0.9922
Epoch: 44, Average Loss: 0.047513, Average IOU: 0.9939
Epoch: 45, Average Loss: 0.045447, Average IOU: 0.9941
Epoch: 46, Average Loss: 0.041125, Average IOU: 0.9947
Epoch: 47, Average Loss: 0.040535, Average IOU: 0.9948
Epoch: 48, Average Loss: 0.038346, Average IOU: 0.9950
Epoch: 49, Average Loss: 0.036603, Average IOU: 0.9953
Epoch: 50, Average Loss: 0.033533, Average IOU: 0.9957
Epoch: 51, Average Loss: 0.033089, Average IOU: 0.9954
Epoch: 52, Average Loss: 0.031738, Average IOU: 0.9953
Epoch: 53, Average Loss: 0.031712, Average IOU: 0.9956
Epoch: 54, Average Loss: 0.027572, Average IOU: 0.9967
Epoch: 55, Average Loss: 0.026162, Average IOU: 0.9969
Epoch: 56, Average Loss: 0.024659, Average IOU: 0.9968
Epoch: 57, Average Loss: 0.023521, Average IOU: 0.9973
Epoch: 58, Average Loss: 0.023027, Average IOU: 0.9970
Epoch: 59, Average Loss: 0.021776, Average IOU: 0.9976
Epoch: 60, Average Loss: 0.022418, Average IOU: 0.9971
Epoch: 61, Average Loss: 0.020565, Average IOU: 0.9976
Epoch: 62, Average Loss: 0.019145, Average IOU: 0.9978
Epoch: 63, Average Loss: 0.020804, Average IOU: 0.9971
Epoch: 64, Average Loss: 0.019395, Average IOU: 0.9976
Epoch: 65, Average Loss: 0.017517, Average IOU: 0.9980
Epoch: 66, Average Loss: 0.015870, Average IOU: 0.9981
Epoch: 67, Average Loss: 0.016389, Average IOU: 0.9981
Epoch: 68, Average Loss: 0.015862, Average IOU: 0.9982
Epoch: 69, Average Loss: 0.016347, Average IOU: 0.9980
Epoch: 70, Average Loss: 0.014781, Average IOU: 0.9984
Epoch: 71, Average Loss: 0.014890, Average IOU: 0.9983
Epoch: 72, Average Loss: 0.013432, Average IOU: 0.9986
Epoch: 73, Average Loss: 0.013235, Average IOU: 0.9985
Epoch: 74, Average Loss: 0.012308, Average IOU: 0.9988
Epoch: 75, Average Loss: 0.013287, Average IOU: 0.9982
Epoch: 76, Average Loss: 0.012833, Average IOU: 0.9987
Epoch: 77, Average Loss: 0.011915, Average IOU: 0.9987
Epoch: 78, Average Loss: 0.012854, Average IOU: 0.9984
Epoch: 79, Average Loss: 0.011227, Average IOU: 0.9989
Epoch: 80, Average Loss: 0.012021, Average IOU: 0.9985
Epoch: 81, Average Loss: 0.010587, Average IOU: 0.9989
Epoch: 82, Average Loss: 0.012583, Average IOU: 0.9983
Epoch: 83, Average Loss: 0.011865, Average IOU: 0.9984
Epoch: 84, Average Loss: 0.012447, Average IOU: 0.9982
Epoch: 85, Average Loss: 0.010166, Average IOU: 0.9990
Epoch: 86, Average Loss: 0.010655, Average IOU: 0.9985
Epoch: 87, Average Loss: 0.010655, Average IOU: 0.9987
Epoch: 88, Average Loss: 0.009557, Average IOU: 0.9989
Epoch: 89, Average Loss: 0.009599, Average IOU: 0.9989
Epoch: 90, Average Loss: 0.010198, Average IOU: 0.9989
Epoch: 91, Average Loss: 0.009709, Average IOU: 0.9990
Epoch: 92, Average Loss: 0.008546, Average IOU: 0.9990
Epoch: 93, Average Loss: 0.008070, Average IOU: 0.9992
Epoch: 94, Average Loss: 0.010490, Average IOU: 0.9985
Epoch: 95, Average Loss: 0.008377, Average IOU: 0.9992
Epoch: 96, Average Loss: 0.008603, Average IOU: 0.9990
Epoch: 97, Average Loss: 0.009213, Average IOU: 0.9988
Epoch: 98, Average Loss: 0.007803, Average IOU: 0.9992
Epoch: 99, Average Loss: 0.007661, Average IOU: 0.9992
Epoch: 100, Average Loss: 0.008540, Average IOU: 0.9990
