Epoch: 1, Average Loss: 1.342893, Average IOU: 0.5841
Epoch: 2, Average Loss: 0.953124, Average IOU: 0.7089
Epoch: 3, Average Loss: 0.789940, Average IOU: 0.7689
Epoch: 4, Average Loss: 0.668773, Average IOU: 0.8143
Epoch: 5, Average Loss: 0.567703, Average IOU: 0.8531
Epoch: 6, Average Loss: 0.482615, Average IOU: 0.8847
Epoch: 7, Average Loss: 0.393839, Average IOU: 0.9173
Epoch: 8, Average Loss: 0.321442, Average IOU: 0.9443
Epoch: 9, Average Loss: 0.257759, Average IOU: 0.9633
Epoch: 10, Average Loss: 0.215141, Average IOU: 0.9754
Epoch: 11, Average Loss: 0.171227, Average IOU: 0.9845
Epoch: 12, Average Loss: 0.148492, Average IOU: 0.9897
Epoch: 13, Average Loss: 0.129094, Average IOU: 0.9922
Epoch: 14, Average Loss: 0.112419, Average IOU: 0.9948
Epoch: 15, Average Loss: 0.100637, Average IOU: 0.9954
Epoch: 16, Average Loss: 0.095421, Average IOU: 0.9965
Epoch: 17, Average Loss: 0.086942, Average IOU: 0.9973
Epoch: 18, Average Loss: 0.075926, Average IOU: 0.9974
Epoch: 19, Average Loss: 0.074770, Average IOU: 0.9980
Epoch: 20, Average Loss: 0.078277, Average IOU: 0.9979
Epoch: 21, Average Loss: 0.060309, Average IOU: 0.9989
Epoch: 22, Average Loss: 0.063270, Average IOU: 0.9988
Epoch: 23, Average Loss: 0.058958, Average IOU: 0.9988
Epoch: 24, Average Loss: 0.054704, Average IOU: 0.9990
Epoch: 25, Average Loss: 0.050913, Average IOU: 0.9992
Epoch: 26, Average Loss: 0.053516, Average IOU: 0.9990
Epoch: 27, Average Loss: 0.053932, Average IOU: 0.9992
Epoch: 28, Average Loss: 0.044173, Average IOU: 0.9995
Epoch: 29, Average Loss: 0.047625, Average IOU: 0.9993
Epoch: 30, Average Loss: 0.052154, Average IOU: 0.9990
Epoch: 31, Average Loss: 0.039718, Average IOU: 0.9994
Epoch: 32, Average Loss: 0.041561, Average IOU: 0.9996
Epoch: 33, Average Loss: 0.037748, Average IOU: 0.9995
Epoch: 34, Average Loss: 0.043785, Average IOU: 0.9995
Epoch: 35, Average Loss: 0.036984, Average IOU: 0.9997
Epoch: 36, Average Loss: 0.036408, Average IOU: 0.9996
Epoch: 37, Average Loss: 0.036203, Average IOU: 0.9997
Epoch: 38, Average Loss: 0.037526, Average IOU: 0.9995
Epoch: 39, Average Loss: 0.029361, Average IOU: 0.9997
Epoch: 40, Average Loss: 0.031382, Average IOU: 0.9997
Epoch: 41, Average Loss: 0.038780, Average IOU: 0.9995
Epoch: 42, Average Loss: 0.034391, Average IOU: 0.9997
Epoch: 43, Average Loss: 0.030360, Average IOU: 0.9997
Epoch: 44, Average Loss: 0.026810, Average IOU: 0.9999
Epoch: 45, Average Loss: 0.027574, Average IOU: 0.9999
Epoch: 46, Average Loss: 0.028177, Average IOU: 0.9997
Epoch: 47, Average Loss: 0.033298, Average IOU: 0.9996
Epoch: 48, Average Loss: 0.021893, Average IOU: 0.9999
Epoch: 49, Average Loss: 0.028629, Average IOU: 0.9997
Epoch: 50, Average Loss: 0.022761, Average IOU: 0.9999
Epoch: 51, Average Loss: 0.024614, Average IOU: 0.9998
Epoch: 52, Average Loss: 0.023163, Average IOU: 0.9999
Epoch: 53, Average Loss: 0.029065, Average IOU: 0.9997
Epoch: 54, Average Loss: 0.032888, Average IOU: 0.9995
Epoch: 55, Average Loss: 0.026146, Average IOU: 0.9997
Epoch: 56, Average Loss: 0.014552, Average IOU: 0.9999
Epoch: 57, Average Loss: 0.021882, Average IOU: 0.9999
Epoch: 58, Average Loss: 0.021421, Average IOU: 0.9999
Epoch: 59, Average Loss: 0.022354, Average IOU: 0.9999
Epoch: 60, Average Loss: 0.023367, Average IOU: 0.9999
Epoch: 61, Average Loss: 0.019906, Average IOU: 1.0000
Epoch: 62, Average Loss: 0.028760, Average IOU: 0.9997
Epoch: 63, Average Loss: 0.020456, Average IOU: 0.9999
Epoch: 64, Average Loss: 0.018979, Average IOU: 0.9998
Epoch: 65, Average Loss: 0.017610, Average IOU: 0.9999
Epoch: 66, Average Loss: 0.014820, Average IOU: 1.0000
Epoch: 67, Average Loss: 0.018784, Average IOU: 1.0000
Epoch: 68, Average Loss: 0.019310, Average IOU: 1.0000
Epoch: 69, Average Loss: 0.015121, Average IOU: 0.9999
Epoch: 70, Average Loss: 0.019478, Average IOU: 1.0000
Epoch: 71, Average Loss: 0.026594, Average IOU: 0.9998
Epoch: 72, Average Loss: 0.013939, Average IOU: 0.9999
Epoch: 73, Average Loss: 0.012897, Average IOU: 1.0000
Epoch: 74, Average Loss: 0.023674, Average IOU: 0.9999
Epoch: 75, Average Loss: 0.013717, Average IOU: 1.0000
Epoch: 76, Average Loss: 0.016572, Average IOU: 0.9999
Epoch: 77, Average Loss: 0.013268, Average IOU: 1.0000
Epoch: 78, Average Loss: 0.015913, Average IOU: 1.0000
Epoch: 79, Average Loss: 0.020609, Average IOU: 0.9999
Epoch: 80, Average Loss: 0.014976, Average IOU: 1.0000
Epoch: 81, Average Loss: 0.010788, Average IOU: 1.0000
Epoch: 82, Average Loss: 0.020663, Average IOU: 0.9999
Epoch: 83, Average Loss: 0.015887, Average IOU: 0.9999
Epoch: 84, Average Loss: 0.011684, Average IOU: 1.0000
Epoch: 85, Average Loss: 0.011767, Average IOU: 1.0000
Epoch: 86, Average Loss: 0.017873, Average IOU: 1.0000
Epoch: 87, Average Loss: 0.012358, Average IOU: 0.9999
Epoch: 88, Average Loss: 0.018452, Average IOU: 0.9999
Epoch: 89, Average Loss: 0.012991, Average IOU: 1.0000
Epoch: 90, Average Loss: 0.015645, Average IOU: 0.9999
Epoch: 91, Average Loss: 0.012577, Average IOU: 0.9999
Epoch: 92, Average Loss: 0.013294, Average IOU: 1.0000
Epoch: 93, Average Loss: 0.012435, Average IOU: 1.0000
Epoch: 94, Average Loss: 0.014834, Average IOU: 1.0000
Epoch: 95, Average Loss: 0.015140, Average IOU: 0.9999
Epoch: 96, Average Loss: 0.016467, Average IOU: 0.9999
Epoch: 97, Average Loss: 0.014598, Average IOU: 0.9999
Epoch: 98, Average Loss: 0.007401, Average IOU: 1.0000
Epoch: 99, Average Loss: 0.010652, Average IOU: 1.0000
Epoch: 100, Average Loss: 0.019503, Average IOU: 0.9999
