Epoch: 1, Average Loss: 1.679579, Average IOU: 0.3954
Epoch: 2, Average Loss: 1.396966, Average IOU: 0.5045
Epoch: 3, Average Loss: 1.271985, Average IOU: 0.5527
Epoch: 4, Average Loss: 1.190896, Average IOU: 0.5833
Epoch: 5, Average Loss: 1.128660, Average IOU: 0.6097
Epoch: 6, Average Loss: 1.073534, Average IOU: 0.6288
Epoch: 7, Average Loss: 1.027458, Average IOU: 0.6461
Epoch: 8, Average Loss: 0.989392, Average IOU: 0.6585
Epoch: 9, Average Loss: 0.950921, Average IOU: 0.6747
Epoch: 10, Average Loss: 0.916707, Average IOU: 0.6857
Epoch: 11, Average Loss: 0.888291, Average IOU: 0.6976
Epoch: 12, Average Loss: 0.853555, Average IOU: 0.7109
Epoch: 13, Average Loss: 0.830674, Average IOU: 0.7175
Epoch: 14, Average Loss: 0.804623, Average IOU: 0.7294
Epoch: 15, Average Loss: 0.777252, Average IOU: 0.7385
Epoch: 16, Average Loss: 0.760681, Average IOU: 0.7444
Epoch: 17, Average Loss: 0.734897, Average IOU: 0.7558
Epoch: 18, Average Loss: 0.717605, Average IOU: 0.7612
Epoch: 19, Average Loss: 0.694557, Average IOU: 0.7681
Epoch: 20, Average Loss: 0.677549, Average IOU: 0.7762
Epoch: 21, Average Loss: 0.656726, Average IOU: 0.7829
Epoch: 22, Average Loss: 0.636692, Average IOU: 0.7909
Epoch: 23, Average Loss: 0.622703, Average IOU: 0.7961
Epoch: 24, Average Loss: 0.612059, Average IOU: 0.7991
Epoch: 25, Average Loss: 0.590836, Average IOU: 0.8060
Epoch: 26, Average Loss: 0.576909, Average IOU: 0.8119
Epoch: 27, Average Loss: 0.559839, Average IOU: 0.8187
Epoch: 28, Average Loss: 0.545362, Average IOU: 0.8232
Epoch: 29, Average Loss: 0.531697, Average IOU: 0.8302
Epoch: 30, Average Loss: 0.518013, Average IOU: 0.8346
Epoch: 31, Average Loss: 0.508735, Average IOU: 0.8379
Epoch: 32, Average Loss: 0.491198, Average IOU: 0.8456
Epoch: 33, Average Loss: 0.475406, Average IOU: 0.8517
Epoch: 34, Average Loss: 0.471917, Average IOU: 0.8508
Epoch: 35, Average Loss: 0.460135, Average IOU: 0.8552
Epoch: 36, Average Loss: 0.447490, Average IOU: 0.8604
Epoch: 37, Average Loss: 0.439095, Average IOU: 0.8651
Epoch: 38, Average Loss: 0.421600, Average IOU: 0.8716
Epoch: 39, Average Loss: 0.411017, Average IOU: 0.8740
Epoch: 40, Average Loss: 0.405042, Average IOU: 0.8767
Epoch: 41, Average Loss: 0.392730, Average IOU: 0.8818
Epoch: 42, Average Loss: 0.388633, Average IOU: 0.8831
Epoch: 43, Average Loss: 0.375375, Average IOU: 0.8878
Epoch: 44, Average Loss: 0.368602, Average IOU: 0.8903
Epoch: 45, Average Loss: 0.360185, Average IOU: 0.8931
Epoch: 46, Average Loss: 0.348458, Average IOU: 0.8985
Epoch: 47, Average Loss: 0.345686, Average IOU: 0.8983
Epoch: 48, Average Loss: 0.329600, Average IOU: 0.9045
Epoch: 49, Average Loss: 0.325499, Average IOU: 0.9065
Epoch: 50, Average Loss: 0.318874, Average IOU: 0.9103
Epoch: 51, Average Loss: 0.314137, Average IOU: 0.9110
Epoch: 52, Average Loss: 0.305671, Average IOU: 0.9123
Epoch: 53, Average Loss: 0.299957, Average IOU: 0.9170
Epoch: 54, Average Loss: 0.293655, Average IOU: 0.9173
Epoch: 55, Average Loss: 0.288177, Average IOU: 0.9204
Epoch: 56, Average Loss: 0.280922, Average IOU: 0.9241
Epoch: 57, Average Loss: 0.270918, Average IOU: 0.9252
Epoch: 58, Average Loss: 0.272864, Average IOU: 0.9256
Epoch: 59, Average Loss: 0.262618, Average IOU: 0.9303
Epoch: 60, Average Loss: 0.253970, Average IOU: 0.9331
Epoch: 61, Average Loss: 0.259930, Average IOU: 0.9304
Epoch: 62, Average Loss: 0.251042, Average IOU: 0.9337
Epoch: 63, Average Loss: 0.248517, Average IOU: 0.9352
Epoch: 64, Average Loss: 0.241575, Average IOU: 0.9380
Epoch: 65, Average Loss: 0.233071, Average IOU: 0.9408
Epoch: 66, Average Loss: 0.236544, Average IOU: 0.9400
Epoch: 67, Average Loss: 0.231491, Average IOU: 0.9409
Epoch: 68, Average Loss: 0.222498, Average IOU: 0.9434
Epoch: 69, Average Loss: 0.217536, Average IOU: 0.9457
Epoch: 70, Average Loss: 0.222216, Average IOU: 0.9449
Epoch: 71, Average Loss: 0.210722, Average IOU: 0.9476
Epoch: 72, Average Loss: 0.215193, Average IOU: 0.9479
Epoch: 73, Average Loss: 0.206638, Average IOU: 0.9499
Epoch: 74, Average Loss: 0.203720, Average IOU: 0.9516
Epoch: 75, Average Loss: 0.198725, Average IOU: 0.9528
Epoch: 76, Average Loss: 0.192758, Average IOU: 0.9552
Epoch: 77, Average Loss: 0.198353, Average IOU: 0.9538
Epoch: 78, Average Loss: 0.193724, Average IOU: 0.9543
Epoch: 79, Average Loss: 0.181070, Average IOU: 0.9589
Epoch: 80, Average Loss: 0.194610, Average IOU: 0.9557
Epoch: 81, Average Loss: 0.187257, Average IOU: 0.9579
Epoch: 82, Average Loss: 0.197054, Average IOU: 0.9542
Epoch: 83, Average Loss: 0.181950, Average IOU: 0.9586
Epoch: 84, Average Loss: 0.171081, Average IOU: 0.9619
Epoch: 85, Average Loss: 0.176173, Average IOU: 0.9603
Epoch: 86, Average Loss: 0.168433, Average IOU: 0.9625
Epoch: 87, Average Loss: 0.172413, Average IOU: 0.9629
Epoch: 88, Average Loss: 0.179324, Average IOU: 0.9612
Epoch: 89, Average Loss: 0.176015, Average IOU: 0.9620
Epoch: 90, Average Loss: 0.164572, Average IOU: 0.9642
Epoch: 91, Average Loss: 0.156168, Average IOU: 0.9669
Epoch: 92, Average Loss: 0.158386, Average IOU: 0.9668
Epoch: 93, Average Loss: 0.160255, Average IOU: 0.9665
Epoch: 94, Average Loss: 0.169592, Average IOU: 0.9643
Epoch: 95, Average Loss: 0.151239, Average IOU: 0.9691
Epoch: 96, Average Loss: 0.170134, Average IOU: 0.9646
Epoch: 97, Average Loss: 0.154720, Average IOU: 0.9691
Epoch: 98, Average Loss: 0.164155, Average IOU: 0.9653
Epoch: 99, Average Loss: 0.135554, Average IOU: 0.9735
Epoch: 100, Average Loss: 0.139667, Average IOU: 0.9722
