Epoch: 1, Average Loss: 2.195025, Average IOU: 0.2944
Epoch: 2, Average Loss: 1.965284, Average IOU: 0.3737
Epoch: 3, Average Loss: 1.870789, Average IOU: 0.4031
Epoch: 4, Average Loss: 1.810314, Average IOU: 0.4230
Epoch: 5, Average Loss: 1.759480, Average IOU: 0.4375
Epoch: 6, Average Loss: 1.714824, Average IOU: 0.4476
Epoch: 7, Average Loss: 1.679879, Average IOU: 0.4537
Epoch: 8, Average Loss: 1.647143, Average IOU: 0.4656
Epoch: 9, Average Loss: 1.619683, Average IOU: 0.4747
Epoch: 10, Average Loss: 1.594784, Average IOU: 0.4797
Epoch: 11, Average Loss: 1.571638, Average IOU: 0.4834
Epoch: 12, Average Loss: 1.550866, Average IOU: 0.4931
Epoch: 13, Average Loss: 1.528302, Average IOU: 0.4941
Epoch: 14, Average Loss: 1.514584, Average IOU: 0.5028
Epoch: 15, Average Loss: 1.497676, Average IOU: 0.5016
Epoch: 16, Average Loss: 1.478968, Average IOU: 0.5076
Epoch: 17, Average Loss: 1.461452, Average IOU: 0.5103
Epoch: 18, Average Loss: 1.449417, Average IOU: 0.5150
Epoch: 19, Average Loss: 1.433518, Average IOU: 0.5198
Epoch: 20, Average Loss: 1.420065, Average IOU: 0.5242
Epoch: 21, Average Loss: 1.406577, Average IOU: 0.5267
Epoch: 22, Average Loss: 1.398160, Average IOU: 0.5264
Epoch: 23, Average Loss: 1.383854, Average IOU: 0.5318
Epoch: 24, Average Loss: 1.373902, Average IOU: 0.5325
Epoch: 25, Average Loss: 1.359793, Average IOU: 0.5385
Epoch: 26, Average Loss: 1.349075, Average IOU: 0.5398
Epoch: 27, Average Loss: 1.339604, Average IOU: 0.5427
Epoch: 28, Average Loss: 1.326623, Average IOU: 0.5440
Epoch: 29, Average Loss: 1.320814, Average IOU: 0.5481
Epoch: 30, Average Loss: 1.306844, Average IOU: 0.5529
Epoch: 31, Average Loss: 1.304999, Average IOU: 0.5542
Epoch: 32, Average Loss: 1.293514, Average IOU: 0.5558
Epoch: 33, Average Loss: 1.281792, Average IOU: 0.5581
Epoch: 34, Average Loss: 1.273832, Average IOU: 0.5594
Epoch: 35, Average Loss: 1.265104, Average IOU: 0.5651
Epoch: 36, Average Loss: 1.253921, Average IOU: 0.5681
Epoch: 37, Average Loss: 1.249758, Average IOU: 0.5667
Epoch: 38, Average Loss: 1.240354, Average IOU: 0.5694
Epoch: 39, Average Loss: 1.233573, Average IOU: 0.5694
Epoch: 40, Average Loss: 1.222883, Average IOU: 0.5738
Epoch: 41, Average Loss: 1.220554, Average IOU: 0.5785
Epoch: 42, Average Loss: 1.210339, Average IOU: 0.5789
Epoch: 43, Average Loss: 1.207075, Average IOU: 0.5796
Epoch: 44, Average Loss: 1.198794, Average IOU: 0.5824
Epoch: 45, Average Loss: 1.188376, Average IOU: 0.5848
Epoch: 46, Average Loss: 1.183513, Average IOU: 0.5873
Epoch: 47, Average Loss: 1.178469, Average IOU: 0.5886
Epoch: 48, Average Loss: 1.171596, Average IOU: 0.5881
Epoch: 49, Average Loss: 1.166039, Average IOU: 0.5921
Epoch: 50, Average Loss: 1.156603, Average IOU: 0.5939
Epoch: 51, Average Loss: 1.151874, Average IOU: 0.5970
Epoch: 52, Average Loss: 1.142925, Average IOU: 0.5989
Epoch: 53, Average Loss: 1.137580, Average IOU: 0.6015
Epoch: 54, Average Loss: 1.130107, Average IOU: 0.6020
Epoch: 55, Average Loss: 1.126138, Average IOU: 0.6023
Epoch: 56, Average Loss: 1.121424, Average IOU: 0.6016
Epoch: 57, Average Loss: 1.112846, Average IOU: 0.6063
Epoch: 58, Average Loss: 1.109469, Average IOU: 0.6069
Epoch: 59, Average Loss: 1.103218, Average IOU: 0.6091
Epoch: 60, Average Loss: 1.096659, Average IOU: 0.6125
Epoch: 61, Average Loss: 1.087016, Average IOU: 0.6146
Epoch: 62, Average Loss: 1.086883, Average IOU: 0.6159
Epoch: 63, Average Loss: 1.082298, Average IOU: 0.6159
Epoch: 64, Average Loss: 1.071399, Average IOU: 0.6196
Epoch: 65, Average Loss: 1.070612, Average IOU: 0.6203
Epoch: 66, Average Loss: 1.064821, Average IOU: 0.6215
Epoch: 67, Average Loss: 1.062470, Average IOU: 0.6216
Epoch: 68, Average Loss: 1.054168, Average IOU: 0.6254
Epoch: 69, Average Loss: 1.051604, Average IOU: 0.6268
Epoch: 70, Average Loss: 1.043977, Average IOU: 0.6283
Epoch: 71, Average Loss: 1.042573, Average IOU: 0.6276
Epoch: 72, Average Loss: 1.036505, Average IOU: 0.6321
Epoch: 73, Average Loss: 1.031438, Average IOU: 0.6315
Epoch: 74, Average Loss: 1.025681, Average IOU: 0.6340
Epoch: 75, Average Loss: 1.022560, Average IOU: 0.6350
Epoch: 76, Average Loss: 1.018702, Average IOU: 0.6350
Epoch: 77, Average Loss: 1.011485, Average IOU: 0.6389
Epoch: 78, Average Loss: 1.010409, Average IOU: 0.6406
Epoch: 79, Average Loss: 1.000006, Average IOU: 0.6418
Epoch: 80, Average Loss: 0.992781, Average IOU: 0.6448
Epoch: 81, Average Loss: 0.994518, Average IOU: 0.6458
Epoch: 82, Average Loss: 0.988752, Average IOU: 0.6445
Epoch: 83, Average Loss: 0.987407, Average IOU: 0.6485
Epoch: 84, Average Loss: 0.986634, Average IOU: 0.6467
Epoch: 85, Average Loss: 0.979187, Average IOU: 0.6463
Epoch: 86, Average Loss: 0.971688, Average IOU: 0.6494
Epoch: 87, Average Loss: 0.966700, Average IOU: 0.6500
Epoch: 88, Average Loss: 0.964955, Average IOU: 0.6536
Epoch: 89, Average Loss: 0.964673, Average IOU: 0.6517
Epoch: 90, Average Loss: 0.958021, Average IOU: 0.6551
Epoch: 91, Average Loss: 0.957410, Average IOU: 0.6550
Epoch: 92, Average Loss: 0.951064, Average IOU: 0.6563
Epoch: 93, Average Loss: 0.949998, Average IOU: 0.6575
Epoch: 94, Average Loss: 0.943036, Average IOU: 0.6602
Epoch: 95, Average Loss: 0.940481, Average IOU: 0.6625
Epoch: 96, Average Loss: 0.940282, Average IOU: 0.6609
Epoch: 97, Average Loss: 0.934010, Average IOU: 0.6636
Epoch: 98, Average Loss: 0.929975, Average IOU: 0.6629
Epoch: 99, Average Loss: 0.926293, Average IOU: 0.6652
Epoch: 100, Average Loss: 0.924091, Average IOU: 0.6675

