Epoch: 1, Average Loss: 1.612439, Average IOU: 0.4272
Epoch: 2, Average Loss: 1.293846, Average IOU: 0.5511
Epoch: 3, Average Loss: 1.143539, Average IOU: 0.6103
Epoch: 4, Average Loss: 1.031806, Average IOU: 0.6504
Epoch: 5, Average Loss: 0.939245, Average IOU: 0.6852
Epoch: 6, Average Loss: 0.862418, Average IOU: 0.7162
Epoch: 7, Average Loss: 0.802922, Average IOU: 0.7344
Epoch: 8, Average Loss: 0.749012, Average IOU: 0.7586
Epoch: 9, Average Loss: 0.694280, Average IOU: 0.7732
Epoch: 10, Average Loss: 0.650493, Average IOU: 0.7914
Epoch: 11, Average Loss: 0.605593, Average IOU: 0.8077
Epoch: 12, Average Loss: 0.562341, Average IOU: 0.8219
Epoch: 13, Average Loss: 0.520508, Average IOU: 0.8375
Epoch: 14, Average Loss: 0.491457, Average IOU: 0.8457
Epoch: 15, Average Loss: 0.461535, Average IOU: 0.8545
Epoch: 16, Average Loss: 0.431489, Average IOU: 0.8669
Epoch: 17, Average Loss: 0.404647, Average IOU: 0.8755
Epoch: 18, Average Loss: 0.377899, Average IOU: 0.8835
Epoch: 19, Average Loss: 0.355294, Average IOU: 0.8922
Epoch: 20, Average Loss: 0.330318, Average IOU: 0.9006
Epoch: 21, Average Loss: 0.314165, Average IOU: 0.9060
Epoch: 22, Average Loss: 0.291548, Average IOU: 0.9110
Epoch: 23, Average Loss: 0.278429, Average IOU: 0.9160
Epoch: 24, Average Loss: 0.258571, Average IOU: 0.9218
Epoch: 25, Average Loss: 0.248677, Average IOU: 0.9260
Epoch: 26, Average Loss: 0.234613, Average IOU: 0.9298
Epoch: 27, Average Loss: 0.225915, Average IOU: 0.9333
Epoch: 28, Average Loss: 0.216118, Average IOU: 0.9373
Epoch: 29, Average Loss: 0.206426, Average IOU: 0.9421
Epoch: 30, Average Loss: 0.195289, Average IOU: 0.9446
Epoch: 31, Average Loss: 0.180142, Average IOU: 0.9479
Epoch: 32, Average Loss: 0.182153, Average IOU: 0.9487
Epoch: 33, Average Loss: 0.168503, Average IOU: 0.9538
Epoch: 34, Average Loss: 0.168706, Average IOU: 0.9523
Epoch: 35, Average Loss: 0.159204, Average IOU: 0.9560
Epoch: 36, Average Loss: 0.152515, Average IOU: 0.9577
Epoch: 37, Average Loss: 0.145515, Average IOU: 0.9584
Epoch: 38, Average Loss: 0.150472, Average IOU: 0.9590
Epoch: 39, Average Loss: 0.135392, Average IOU: 0.9629
Epoch: 40, Average Loss: 0.133583, Average IOU: 0.9615
Epoch: 41, Average Loss: 0.134957, Average IOU: 0.9614
Epoch: 42, Average Loss: 0.122407, Average IOU: 0.9659
Epoch: 43, Average Loss: 0.124282, Average IOU: 0.9659
Epoch: 44, Average Loss: 0.118955, Average IOU: 0.9685
Epoch: 45, Average Loss: 0.120462, Average IOU: 0.9677
Epoch: 46, Average Loss: 0.112993, Average IOU: 0.9687
Epoch: 47, Average Loss: 0.110327, Average IOU: 0.9702
Epoch: 48, Average Loss: 0.105589, Average IOU: 0.9711
Epoch: 49, Average Loss: 0.112390, Average IOU: 0.9697
Epoch: 50, Average Loss: 0.103099, Average IOU: 0.9728
Epoch: 51, Average Loss: 0.095831, Average IOU: 0.9751
Epoch: 52, Average Loss: 0.093648, Average IOU: 0.9749
Epoch: 53, Average Loss: 0.098140, Average IOU: 0.9732
Epoch: 54, Average Loss: 0.100945, Average IOU: 0.9728
Epoch: 55, Average Loss: 0.089313, Average IOU: 0.9757
Epoch: 56, Average Loss: 0.089785, Average IOU: 0.9759
