Epoch: 1, Average Loss: 1.589093, Average IOU: 0.4853
Epoch: 2, Average Loss: 1.226144, Average IOU: 0.5740
Epoch: 3, Average Loss: 1.060031, Average IOU: 0.6271
Epoch: 4, Average Loss: 0.946795, Average IOU: 0.6633
Epoch: 5, Average Loss: 0.861366, Average IOU: 0.6911
Epoch: 6, Average Loss: 0.793730, Average IOU: 0.7143
Epoch: 7, Average Loss: 0.732381, Average IOU: 0.7334
Epoch: 8, Average Loss: 0.686571, Average IOU: 0.7516
Epoch: 9, Average Loss: 0.637555, Average IOU: 0.7670
Epoch: 10, Average Loss: 0.594666, Average IOU: 0.7835
Epoch: 11, Average Loss: 0.557983, Average IOU: 0.7964
Epoch: 12, Average Loss: 0.521178, Average IOU: 0.8063
Epoch: 13, Average Loss: 0.483477, Average IOU: 0.8196
Epoch: 14, Average Loss: 0.449398, Average IOU: 0.8307
Epoch: 15, Average Loss: 0.423571, Average IOU: 0.8403
Epoch: 16, Average Loss: 0.394316, Average IOU: 0.8496
Epoch: 17, Average Loss: 0.370685, Average IOU: 0.8594
Epoch: 18, Average Loss: 0.348929, Average IOU: 0.8659
Epoch: 19, Average Loss: 0.323105, Average IOU: 0.8745
Epoch: 20, Average Loss: 0.305435, Average IOU: 0.8818
Epoch: 21, Average Loss: 0.289333, Average IOU: 0.8873
Epoch: 22, Average Loss: 0.266753, Average IOU: 0.8930
Epoch: 23, Average Loss: 0.250264, Average IOU: 0.9017
Epoch: 24, Average Loss: 0.235760, Average IOU: 0.9067
Epoch: 25, Average Loss: 0.225834, Average IOU: 0.9102
Epoch: 26, Average Loss: 0.214972, Average IOU: 0.9136
Epoch: 27, Average Loss: 0.202250, Average IOU: 0.9177
Epoch: 28, Average Loss: 0.192680, Average IOU: 0.9235
Epoch: 29, Average Loss: 0.182725, Average IOU: 0.9263
Epoch: 30, Average Loss: 0.174739, Average IOU: 0.9308
Epoch: 31, Average Loss: 0.163813, Average IOU: 0.9331
Epoch: 32, Average Loss: 0.157828, Average IOU: 0.9340
Epoch: 33, Average Loss: 0.150974, Average IOU: 0.9377
Epoch: 34, Average Loss: 0.149142, Average IOU: 0.9415
Epoch: 35, Average Loss: 0.143378, Average IOU: 0.9428
Epoch: 36, Average Loss: 0.136456, Average IOU: 0.9430
Epoch: 37, Average Loss: 0.126060, Average IOU: 0.9473
Epoch: 38, Average Loss: 0.126379, Average IOU: 0.9476
Epoch: 39, Average Loss: 0.121473, Average IOU: 0.9481
Epoch: 40, Average Loss: 0.120119, Average IOU: 0.9508
Epoch: 41, Average Loss: 0.113594, Average IOU: 0.9548
Epoch: 42, Average Loss: 0.104428, Average IOU: 0.9557
Epoch: 43, Average Loss: 0.108856, Average IOU: 0.9548
Epoch: 44, Average Loss: 0.104714, Average IOU: 0.9566
Epoch: 45, Average Loss: 0.102804, Average IOU: 0.9573
Epoch: 46, Average Loss: 0.099581, Average IOU: 0.9602
Epoch: 47, Average Loss: 0.095182, Average IOU: 0.9607
Epoch: 48, Average Loss: 0.091936, Average IOU: 0.9610
Epoch: 49, Average Loss: 0.092992, Average IOU: 0.9603
Epoch: 50, Average Loss: 0.087464, Average IOU: 0.9631
Epoch: 51, Average Loss: 0.085114, Average IOU: 0.9652
Epoch: 52, Average Loss: 0.086585, Average IOU: 0.9644
Epoch: 53, Average Loss: 0.082128, Average IOU: 0.9655
Epoch: 54, Average Loss: 0.083304, Average IOU: 0.9663
Epoch: 55, Average Loss: 0.078203, Average IOU: 0.9671
Epoch: 56, Average Loss: 0.080679, Average IOU: 0.9664
Epoch: 57, Average Loss: 0.077309, Average IOU: 0.9692
Epoch: 58, Average Loss: 0.074614, Average IOU: 0.9690
Epoch: 59, Average Loss: 0.075971, Average IOU: 0.9682
Epoch: 60, Average Loss: 0.072900, Average IOU: 0.9705
Epoch: 61, Average Loss: 0.072689, Average IOU: 0.9714
Epoch: 62, Average Loss: 0.069047, Average IOU: 0.9706
Epoch: 63, Average Loss: 0.066781, Average IOU: 0.9728
Epoch: 64, Average Loss: 0.066236, Average IOU: 0.9714
Epoch: 65, Average Loss: 0.064139, Average IOU: 0.9751
Epoch: 66, Average Loss: 0.062092, Average IOU: 0.9736
Epoch: 67, Average Loss: 0.063929, Average IOU: 0.9730
Epoch: 68, Average Loss: 0.061075, Average IOU: 0.9763
Epoch: 69, Average Loss: 0.060537, Average IOU: 0.9755
Epoch: 70, Average Loss: 0.061098, Average IOU: 0.9748
Epoch: 71, Average Loss: 0.059495, Average IOU: 0.9744
Epoch: 72, Average Loss: 0.058474, Average IOU: 0.9764
Epoch: 73, Average Loss: 0.055789, Average IOU: 0.9761
Epoch: 74, Average Loss: 0.057055, Average IOU: 0.9769
Epoch: 75, Average Loss: 0.055392, Average IOU: 0.9767
Epoch: 76, Average Loss: 0.056471, Average IOU: 0.9762
Epoch: 77, Average Loss: 0.053730, Average IOU: 0.9780
Epoch: 78, Average Loss: 0.052422, Average IOU: 0.9792
Epoch: 79, Average Loss: 0.052822, Average IOU: 0.9779
Epoch: 80, Average Loss: 0.050195, Average IOU: 0.9781
Epoch: 81, Average Loss: 0.049369, Average IOU: 0.9792
Epoch: 82, Average Loss: 0.051641, Average IOU: 0.9789
Epoch: 83, Average Loss: 0.048988, Average IOU: 0.9802
Epoch: 84, Average Loss: 0.047956, Average IOU: 0.9794
Epoch: 85, Average Loss: 0.048264, Average IOU: 0.9790
Epoch: 86, Average Loss: 0.045423, Average IOU: 0.9824
Epoch: 87, Average Loss: 0.045209, Average IOU: 0.9806
Epoch: 88, Average Loss: 0.047149, Average IOU: 0.9809
Epoch: 89, Average Loss: 0.045315, Average IOU: 0.9818
Epoch: 90, Average Loss: 0.045421, Average IOU: 0.9808
Epoch: 91, Average Loss: 0.043250, Average IOU: 0.9814
Epoch: 92, Average Loss: 0.043933, Average IOU: 0.9815
Epoch: 93, Average Loss: 0.043971, Average IOU: 0.9818
Epoch: 94, Average Loss: 0.041676, Average IOU: 0.9827
Epoch: 95, Average Loss: 0.042752, Average IOU: 0.9820
Epoch: 96, Average Loss: 0.040498, Average IOU: 0.9839
Epoch: 97, Average Loss: 0.041743, Average IOU: 0.9826
Epoch: 98, Average Loss: 0.041200, Average IOU: 0.9827
Epoch: 99, Average Loss: 0.040000, Average IOU: 0.9843
Epoch: 100, Average Loss: 0.040152, Average IOU: 0.9833

