Epoch: 1, Average Loss: 2.304915, Average IOU: 0.2445
Epoch: 2, Average Loss: 2.304095, Average IOU: 0.2486
Epoch: 3, Average Loss: 2.303298, Average IOU: 0.2548
Epoch: 4, Average Loss: 2.302494, Average IOU: 0.2714
Epoch: 5, Average Loss: 2.301653, Average IOU: 0.2912
Epoch: 6, Average Loss: 2.300746, Average IOU: 0.3119
Epoch: 7, Average Loss: 2.299742, Average IOU: 0.3289
Epoch: 8, Average Loss: 2.298589, Average IOU: 0.3389
Epoch: 9, Average Loss: 2.297206, Average IOU: 0.3501
Epoch: 10, Average Loss: 2.295480, Average IOU: 0.3579
Epoch: 11, Average Loss: 2.293290, Average IOU: 0.3687
Epoch: 12, Average Loss: 2.290481, Average IOU: 0.3760
Epoch: 13, Average Loss: 2.286763, Average IOU: 0.3873
Epoch: 14, Average Loss: 2.281605, Average IOU: 0.3852
Epoch: 15, Average Loss: 2.274250, Average IOU: 0.3848
Epoch: 16, Average Loss: 2.263647, Average IOU: 0.3808
Epoch: 17, Average Loss: 2.248320, Average IOU: 0.3800
Epoch: 18, Average Loss: 2.226871, Average IOU: 0.3798
Epoch: 19, Average Loss: 2.198945, Average IOU: 0.3785
Epoch: 20, Average Loss: 2.167139, Average IOU: 0.3812
Epoch: 21, Average Loss: 2.136305, Average IOU: 0.3863
Epoch: 22, Average Loss: 2.107559, Average IOU: 0.3980
Epoch: 23, Average Loss: 2.079354, Average IOU: 0.4070
Epoch: 24, Average Loss: 2.051938, Average IOU: 0.4142
Epoch: 25, Average Loss: 2.025986, Average IOU: 0.4178
Epoch: 26, Average Loss: 2.001620, Average IOU: 0.4189
Epoch: 27, Average Loss: 1.978713, Average IOU: 0.4207
Epoch: 28, Average Loss: 1.957439, Average IOU: 0.4221
Epoch: 29, Average Loss: 1.937357, Average IOU: 0.4237
Epoch: 30, Average Loss: 1.919460, Average IOU: 0.4240
Epoch: 31, Average Loss: 1.902855, Average IOU: 0.4252
Epoch: 32, Average Loss: 1.887568, Average IOU: 0.4276
Epoch: 33, Average Loss: 1.872851, Average IOU: 0.4275
Epoch: 34, Average Loss: 1.858688, Average IOU: 0.4298
Epoch: 35, Average Loss: 1.844868, Average IOU: 0.4313
Epoch: 36, Average Loss: 1.830593, Average IOU: 0.4348
Epoch: 37, Average Loss: 1.816688, Average IOU: 0.4380
Epoch: 38, Average Loss: 1.802477, Average IOU: 0.4408
Epoch: 39, Average Loss: 1.787970, Average IOU: 0.4426
Epoch: 40, Average Loss: 1.772944, Average IOU: 0.4486
Epoch: 41, Average Loss: 1.758081, Average IOU: 0.4502
Epoch: 42, Average Loss: 1.743206, Average IOU: 0.4552
Epoch: 43, Average Loss: 1.728100, Average IOU: 0.4583
Epoch: 44, Average Loss: 1.713277, Average IOU: 0.4609
Epoch: 45, Average Loss: 1.698330, Average IOU: 0.4647
Epoch: 46, Average Loss: 1.683929, Average IOU: 0.4669
Epoch: 47, Average Loss: 1.669822, Average IOU: 0.4706
Epoch: 48, Average Loss: 1.656355, Average IOU: 0.4745
Epoch: 49, Average Loss: 1.643569, Average IOU: 0.4768
Epoch: 50, Average Loss: 1.631091, Average IOU: 0.4801
Epoch: 51, Average Loss: 1.619363, Average IOU: 0.4823
Epoch: 52, Average Loss: 1.608486, Average IOU: 0.4841
Epoch: 53, Average Loss: 1.598679, Average IOU: 0.4866
Epoch: 54, Average Loss: 1.589390, Average IOU: 0.4885
Epoch: 55, Average Loss: 1.580828, Average IOU: 0.4914
Epoch: 56, Average Loss: 1.572653, Average IOU: 0.4911
Epoch: 57, Average Loss: 1.564640, Average IOU: 0.4950
Epoch: 58, Average Loss: 1.557445, Average IOU: 0.4946
Epoch: 59, Average Loss: 1.550907, Average IOU: 0.4962
Epoch: 60, Average Loss: 1.544334, Average IOU: 0.4984
Epoch: 61, Average Loss: 1.538222, Average IOU: 0.4977
Epoch: 62, Average Loss: 1.531801, Average IOU: 0.4994
Epoch: 63, Average Loss: 1.527202, Average IOU: 0.5010
Epoch: 64, Average Loss: 1.521371, Average IOU: 0.5032
Epoch: 65, Average Loss: 1.516078, Average IOU: 0.5039
