Epoch: 1, Average Loss: 1.532269, Average IOU: 0.4936
Epoch: 2, Average Loss: 1.276895, Average IOU: 0.5656
Epoch: 3, Average Loss: 1.185381, Average IOU: 0.5926
Epoch: 4, Average Loss: 1.124989, Average IOU: 0.6101
Epoch: 5, Average Loss: 1.072482, Average IOU: 0.6265
Epoch: 6, Average Loss: 1.030007, Average IOU: 0.6385
Epoch: 7, Average Loss: 0.994679, Average IOU: 0.6491
Epoch: 8, Average Loss: 0.965134, Average IOU: 0.6587
Epoch: 9, Average Loss: 0.934589, Average IOU: 0.6690
Epoch: 10, Average Loss: 0.907335, Average IOU: 0.6803
Epoch: 11, Average Loss: 0.883103, Average IOU: 0.6853
Epoch: 12, Average Loss: 0.854622, Average IOU: 0.6957
Epoch: 13, Average Loss: 0.838126, Average IOU: 0.7008
Epoch: 14, Average Loss: 0.813344, Average IOU: 0.7090
Epoch: 15, Average Loss: 0.793326, Average IOU: 0.7168
Epoch: 16, Average Loss: 0.775026, Average IOU: 0.7223
Epoch: 17, Average Loss: 0.755858, Average IOU: 0.7276
Epoch: 18, Average Loss: 0.741398, Average IOU: 0.7327
Epoch: 19, Average Loss: 0.719397, Average IOU: 0.7407
Epoch: 20, Average Loss: 0.708787, Average IOU: 0.7449
Epoch: 21, Average Loss: 0.692865, Average IOU: 0.7490
Epoch: 22, Average Loss: 0.679172, Average IOU: 0.7536
Epoch: 23, Average Loss: 0.665003, Average IOU: 0.7584
Epoch: 24, Average Loss: 0.654740, Average IOU: 0.7609
Epoch: 25, Average Loss: 0.638746, Average IOU: 0.7671
Epoch: 26, Average Loss: 0.628864, Average IOU: 0.7698
Epoch: 27, Average Loss: 0.617998, Average IOU: 0.7737
Epoch: 28, Average Loss: 0.606984, Average IOU: 0.7753
Epoch: 29, Average Loss: 0.593374, Average IOU: 0.7824
Epoch: 30, Average Loss: 0.585111, Average IOU: 0.7852
Epoch: 31, Average Loss: 0.575316, Average IOU: 0.7872
Epoch: 32, Average Loss: 0.564571, Average IOU: 0.7924
Epoch: 33, Average Loss: 0.557465, Average IOU: 0.7938
Epoch: 34, Average Loss: 0.549709, Average IOU: 0.7967
Epoch: 35, Average Loss: 0.536556, Average IOU: 0.8003
Epoch: 36, Average Loss: 0.527008, Average IOU: 0.8058
Epoch: 37, Average Loss: 0.520940, Average IOU: 0.8069
Epoch: 38, Average Loss: 0.511269, Average IOU: 0.8102
Epoch: 39, Average Loss: 0.505890, Average IOU: 0.8101
Epoch: 40, Average Loss: 0.494880, Average IOU: 0.8164
Epoch: 41, Average Loss: 0.488126, Average IOU: 0.8186
Epoch: 42, Average Loss: 0.479841, Average IOU: 0.8213
Epoch: 43, Average Loss: 0.471518, Average IOU: 0.8239
Epoch: 44, Average Loss: 0.464131, Average IOU: 0.8254
Epoch: 45, Average Loss: 0.457064, Average IOU: 0.8292
Epoch: 46, Average Loss: 0.452808, Average IOU: 0.8300
Epoch: 47, Average Loss: 0.444298, Average IOU: 0.8330
Epoch: 48, Average Loss: 0.443016, Average IOU: 0.8335
Epoch: 49, Average Loss: 0.432345, Average IOU: 0.8366
Epoch: 50, Average Loss: 0.427477, Average IOU: 0.8407
Epoch: 51, Average Loss: 0.419476, Average IOU: 0.8420
Epoch: 52, Average Loss: 0.410188, Average IOU: 0.8430
Epoch: 53, Average Loss: 0.415468, Average IOU: 0.8437
Epoch: 54, Average Loss: 0.403579, Average IOU: 0.8484
