Epoch: 1, Average Loss: 2.004288, Average IOU: 0.3681
Epoch: 2, Average Loss: 1.658343, Average IOU: 0.4624
Epoch: 3, Average Loss: 1.500676, Average IOU: 0.5029
Epoch: 4, Average Loss: 1.401435, Average IOU: 0.5301
Epoch: 5, Average Loss: 1.328513, Average IOU: 0.5512
Epoch: 6, Average Loss: 1.265971, Average IOU: 0.5645
Epoch: 7, Average Loss: 1.208473, Average IOU: 0.5870
Epoch: 8, Average Loss: 1.154712, Average IOU: 0.6016
Epoch: 9, Average Loss: 1.102959, Average IOU: 0.6162
Epoch: 10, Average Loss: 1.054417, Average IOU: 0.6340
Epoch: 11, Average Loss: 1.007149, Average IOU: 0.6480
Epoch: 12, Average Loss: 0.958964, Average IOU: 0.6645
Epoch: 13, Average Loss: 0.910253, Average IOU: 0.6815
Epoch: 14, Average Loss: 0.864680, Average IOU: 0.6969
Epoch: 15, Average Loss: 0.818090, Average IOU: 0.7142
Epoch: 16, Average Loss: 0.769925, Average IOU: 0.7287
Epoch: 17, Average Loss: 0.724074, Average IOU: 0.7458
Epoch: 18, Average Loss: 0.672689, Average IOU: 0.7635
Epoch: 19, Average Loss: 0.628257, Average IOU: 0.7819
Epoch: 20, Average Loss: 0.584494, Average IOU: 0.7963
Epoch: 21, Average Loss: 0.536266, Average IOU: 0.8134
Epoch: 22, Average Loss: 0.491668, Average IOU: 0.8323
Epoch: 23, Average Loss: 0.448489, Average IOU: 0.8504
Epoch: 24, Average Loss: 0.404820, Average IOU: 0.8673
Epoch: 25, Average Loss: 0.365641, Average IOU: 0.8820
Epoch: 26, Average Loss: 0.327013, Average IOU: 0.8964
Epoch: 27, Average Loss: 0.294892, Average IOU: 0.9115
Epoch: 28, Average Loss: 0.263535, Average IOU: 0.9214
Epoch: 29, Average Loss: 0.226771, Average IOU: 0.9362
Epoch: 30, Average Loss: 0.204804, Average IOU: 0.9424
Epoch: 31, Average Loss: 0.178241, Average IOU: 0.9527
Epoch: 32, Average Loss: 0.158650, Average IOU: 0.9586
Epoch: 33, Average Loss: 0.139488, Average IOU: 0.9656
Epoch: 34, Average Loss: 0.128894, Average IOU: 0.9686
Epoch: 35, Average Loss: 0.111532, Average IOU: 0.9753
Epoch: 36, Average Loss: 0.102203, Average IOU: 0.9783
Epoch: 37, Average Loss: 0.091294, Average IOU: 0.9818
Epoch: 38, Average Loss: 0.080854, Average IOU: 0.9844
Epoch: 39, Average Loss: 0.074973, Average IOU: 0.9863
Epoch: 40, Average Loss: 0.065333, Average IOU: 0.9879
Epoch: 41, Average Loss: 0.060962, Average IOU: 0.9885
Epoch: 42, Average Loss: 0.054928, Average IOU: 0.9915
Epoch: 43, Average Loss: 0.052325, Average IOU: 0.9913
Epoch: 44, Average Loss: 0.045975, Average IOU: 0.9934
Epoch: 45, Average Loss: 0.044138, Average IOU: 0.9934
Epoch: 46, Average Loss: 0.039280, Average IOU: 0.9940
Epoch: 47, Average Loss: 0.039238, Average IOU: 0.9937
Epoch: 48, Average Loss: 0.037225, Average IOU: 0.9937
Epoch: 49, Average Loss: 0.035238, Average IOU: 0.9943
Epoch: 50, Average Loss: 0.032228, Average IOU: 0.9950
Epoch: 51, Average Loss: 0.031124, Average IOU: 0.9953
Epoch: 52, Average Loss: 0.030451, Average IOU: 0.9950
Epoch: 53, Average Loss: 0.029659, Average IOU: 0.9954
Epoch: 54, Average Loss: 0.025363, Average IOU: 0.9967
Epoch: 55, Average Loss: 0.024421, Average IOU: 0.9968
Epoch: 56, Average Loss: 0.023595, Average IOU: 0.9967
Epoch: 57, Average Loss: 0.022321, Average IOU: 0.9974
Epoch: 58, Average Loss: 0.022296, Average IOU: 0.9970
Epoch: 59, Average Loss: 0.020314, Average IOU: 0.9974
Epoch: 60, Average Loss: 0.021059, Average IOU: 0.9968
Epoch: 61, Average Loss: 0.020117, Average IOU: 0.9972
Epoch: 62, Average Loss: 0.018111, Average IOU: 0.9979
Epoch: 63, Average Loss: 0.018766, Average IOU: 0.9973
Epoch: 64, Average Loss: 0.018025, Average IOU: 0.9970
Epoch: 65, Average Loss: 0.017630, Average IOU: 0.9974
Epoch: 66, Average Loss: 0.014933, Average IOU: 0.9982
Epoch: 67, Average Loss: 0.015063, Average IOU: 0.9979
Epoch: 68, Average Loss: 0.015799, Average IOU: 0.9975
Epoch: 69, Average Loss: 0.014934, Average IOU: 0.9977
Epoch: 70, Average Loss: 0.014736, Average IOU: 0.9978
Epoch: 71, Average Loss: 0.014208, Average IOU: 0.9981
Epoch: 72, Average Loss: 0.011909, Average IOU: 0.9990
Epoch: 73, Average Loss: 0.012074, Average IOU: 0.9985
Epoch: 74, Average Loss: 0.010805, Average IOU: 0.9991
Epoch: 75, Average Loss: 0.012360, Average IOU: 0.9984
Epoch: 76, Average Loss: 0.012640, Average IOU: 0.9980
