Epoch: 1, Average Loss: 1.446383, Average IOU: 0.5194
Epoch: 2, Average Loss: 0.991151, Average IOU: 0.6494
Epoch: 3, Average Loss: 0.779164, Average IOU: 0.7213
Epoch: 4, Average Loss: 0.642022, Average IOU: 0.7705
Epoch: 5, Average Loss: 0.526158, Average IOU: 0.8115
Epoch: 6, Average Loss: 0.419679, Average IOU: 0.8511
Epoch: 7, Average Loss: 0.326011, Average IOU: 0.8859
Epoch: 8, Average Loss: 0.239177, Average IOU: 0.9200
Epoch: 9, Average Loss: 0.168299, Average IOU: 0.9476
Epoch: 10, Average Loss: 0.121236, Average IOU: 0.9653
Epoch: 11, Average Loss: 0.088332, Average IOU: 0.9765
Epoch: 12, Average Loss: 0.059304, Average IOU: 0.9862
Epoch: 13, Average Loss: 0.047364, Average IOU: 0.9903
Epoch: 14, Average Loss: 0.036732, Average IOU: 0.9930
Epoch: 15, Average Loss: 0.030316, Average IOU: 0.9953
Epoch: 16, Average Loss: 0.025464, Average IOU: 0.9952
Epoch: 17, Average Loss: 0.023283, Average IOU: 0.9961
Epoch: 18, Average Loss: 0.021876, Average IOU: 0.9964
Epoch: 19, Average Loss: 0.015848, Average IOU: 0.9975
Epoch: 20, Average Loss: 0.016196, Average IOU: 0.9982
Epoch: 21, Average Loss: 0.013351, Average IOU: 0.9983
Epoch: 22, Average Loss: 0.013123, Average IOU: 0.9985
Epoch: 23, Average Loss: 0.012232, Average IOU: 0.9985
Epoch: 24, Average Loss: 0.011091, Average IOU: 0.9986
Epoch: 25, Average Loss: 0.010038, Average IOU: 0.9989
Epoch: 26, Average Loss: 0.009567, Average IOU: 0.9990
Epoch: 27, Average Loss: 0.009285, Average IOU: 0.9991
Epoch: 28, Average Loss: 0.008997, Average IOU: 0.9989
Epoch: 29, Average Loss: 0.009445, Average IOU: 0.9988
Epoch: 30, Average Loss: 0.006984, Average IOU: 0.9993
Epoch: 31, Average Loss: 0.007024, Average IOU: 0.9994
Epoch: 32, Average Loss: 0.007172, Average IOU: 0.9994
Epoch: 33, Average Loss: 0.008094, Average IOU: 0.9991
Epoch: 34, Average Loss: 0.005783, Average IOU: 0.9996
Epoch: 35, Average Loss: 0.006207, Average IOU: 0.9994
Epoch: 36, Average Loss: 0.005563, Average IOU: 0.9996
Epoch: 37, Average Loss: 0.005547, Average IOU: 0.9993
Epoch: 38, Average Loss: 0.004834, Average IOU: 0.9996
Epoch: 39, Average Loss: 0.005723, Average IOU: 0.9995
Epoch: 40, Average Loss: 0.004778, Average IOU: 0.9997
Epoch: 41, Average Loss: 0.004272, Average IOU: 0.9995
Epoch: 42, Average Loss: 0.003758, Average IOU: 0.9996
Epoch: 43, Average Loss: 0.004027, Average IOU: 0.9997
Epoch: 44, Average Loss: 0.004551, Average IOU: 0.9996
Epoch: 45, Average Loss: 0.003344, Average IOU: 0.9998
Epoch: 46, Average Loss: 0.003558, Average IOU: 0.9998
Epoch: 47, Average Loss: 0.006259, Average IOU: 0.9993
