Epoch: 1, Average Loss: 0.316284, Average IOU: 0.8728
Epoch: 2, Average Loss: 0.079167, Average IOU: 0.9638
Epoch: 3, Average Loss: 0.056388, Average IOU: 0.9755
Epoch: 4, Average Loss: 0.044835, Average IOU: 0.9802
Epoch: 5, Average Loss: 0.037020, Average IOU: 0.9850
Epoch: 6, Average Loss: 0.031930, Average IOU: 0.9871
Epoch: 7, Average Loss: 0.028104, Average IOU: 0.9895
Epoch: 8, Average Loss: 0.024071, Average IOU: 0.9913
Epoch: 9, Average Loss: 0.023112, Average IOU: 0.9922
Epoch: 10, Average Loss: 0.018372, Average IOU: 0.9937
Epoch: 11, Average Loss: 0.015785, Average IOU: 0.9953
Epoch: 12, Average Loss: 0.015113, Average IOU: 0.9954
Epoch: 13, Average Loss: 0.012705, Average IOU: 0.9963
Epoch: 14, Average Loss: 0.012804, Average IOU: 0.9963
Epoch: 15, Average Loss: 0.011089, Average IOU: 0.9974
Epoch: 16, Average Loss: 0.010191, Average IOU: 0.9978
Epoch: 17, Average Loss: 0.007394, Average IOU: 0.9985
Epoch: 18, Average Loss: 0.010943, Average IOU: 0.9978
Epoch: 19, Average Loss: 0.007383, Average IOU: 0.9984
Epoch: 20, Average Loss: 0.008333, Average IOU: 0.9984
Epoch: 21, Average Loss: 0.008125, Average IOU: 0.9987
Epoch: 22, Average Loss: 0.006713, Average IOU: 0.9988
Epoch: 23, Average Loss: 0.006497, Average IOU: 0.9989
Epoch: 24, Average Loss: 0.007090, Average IOU: 0.9992
Epoch: 25, Average Loss: 0.006664, Average IOU: 0.9990
Epoch: 26, Average Loss: 0.005391, Average IOU: 0.9992
Epoch: 27, Average Loss: 0.006522, Average IOU: 0.9992
Epoch: 28, Average Loss: 0.004085, Average IOU: 0.9997
Epoch: 29, Average Loss: 0.004339, Average IOU: 0.9997
Epoch: 30, Average Loss: 0.007954, Average IOU: 0.9987
Epoch: 31, Average Loss: 0.004220, Average IOU: 0.9993
Epoch: 32, Average Loss: 0.005323, Average IOU: 0.9994
Epoch: 33, Average Loss: 0.003164, Average IOU: 0.9997
Epoch: 34, Average Loss: 0.006818, Average IOU: 0.9993
Epoch: 35, Average Loss: 0.003545, Average IOU: 0.9994
Epoch: 36, Average Loss: 0.003340, Average IOU: 0.9999
Epoch: 37, Average Loss: 0.006220, Average IOU: 0.9994
Epoch: 38, Average Loss: 0.002459, Average IOU: 0.9999
Epoch: 39, Average Loss: 0.005276, Average IOU: 0.9996
Epoch: 40, Average Loss: 0.003574, Average IOU: 0.9996
Epoch: 41, Average Loss: 0.005061, Average IOU: 0.9995
