Epoch: 1, Average Loss: 1.737448, Average IOU: 0.3894
Epoch: 2, Average Loss: 0.766021, Average IOU: 0.6837
Epoch: 3, Average Loss: 0.444860, Average IOU: 0.7961
Epoch: 4, Average Loss: 0.325938, Average IOU: 0.8420
Epoch: 5, Average Loss: 0.270213, Average IOU: 0.8651
Epoch: 6, Average Loss: 0.230652, Average IOU: 0.8853
Epoch: 7, Average Loss: 0.203810, Average IOU: 0.8973
Epoch: 8, Average Loss: 0.184634, Average IOU: 0.9064
Epoch: 9, Average Loss: 0.170680, Average IOU: 0.9138
Epoch: 10, Average Loss: 0.157800, Average IOU: 0.9185
Epoch: 11, Average Loss: 0.149535, Average IOU: 0.9224
Epoch: 12, Average Loss: 0.137646, Average IOU: 0.9296
Epoch: 13, Average Loss: 0.130134, Average IOU: 0.9325
Epoch: 14, Average Loss: 0.124617, Average IOU: 0.9364
Epoch: 15, Average Loss: 0.118896, Average IOU: 0.9390
Epoch: 16, Average Loss: 0.113867, Average IOU: 0.9426
Epoch: 17, Average Loss: 0.109299, Average IOU: 0.9439
Epoch: 18, Average Loss: 0.105236, Average IOU: 0.9465
Epoch: 19, Average Loss: 0.101288, Average IOU: 0.9455
Epoch: 20, Average Loss: 0.096544, Average IOU: 0.9492
Epoch: 21, Average Loss: 0.094820, Average IOU: 0.9493
Epoch: 22, Average Loss: 0.093284, Average IOU: 0.9501
Epoch: 23, Average Loss: 0.088729, Average IOU: 0.9539
Epoch: 24, Average Loss: 0.085895, Average IOU: 0.9568
Epoch: 25, Average Loss: 0.085043, Average IOU: 0.9566
Epoch: 26, Average Loss: 0.083255, Average IOU: 0.9581
Epoch: 27, Average Loss: 0.079970, Average IOU: 0.9579
Epoch: 28, Average Loss: 0.077503, Average IOU: 0.9600
Epoch: 29, Average Loss: 0.077331, Average IOU: 0.9598
Epoch: 30, Average Loss: 0.072985, Average IOU: 0.9621
Epoch: 31, Average Loss: 0.073444, Average IOU: 0.9610
Epoch: 32, Average Loss: 0.069555, Average IOU: 0.9629
Epoch: 33, Average Loss: 0.068433, Average IOU: 0.9651
Epoch: 34, Average Loss: 0.066800, Average IOU: 0.9656
Epoch: 35, Average Loss: 0.065743, Average IOU: 0.9658
Epoch: 36, Average Loss: 0.065064, Average IOU: 0.9652
Epoch: 37, Average Loss: 0.064043, Average IOU: 0.9670
Epoch: 38, Average Loss: 0.061940, Average IOU: 0.9674
Epoch: 39, Average Loss: 0.061038, Average IOU: 0.9680
Epoch: 40, Average Loss: 0.060691, Average IOU: 0.9680
Epoch: 41, Average Loss: 0.058555, Average IOU: 0.9688
Epoch: 42, Average Loss: 0.058482, Average IOU: 0.9693
Epoch: 43, Average Loss: 0.056443, Average IOU: 0.9700
Epoch: 44, Average Loss: 0.056909, Average IOU: 0.9702
Epoch: 45, Average Loss: 0.056189, Average IOU: 0.9700
Epoch: 46, Average Loss: 0.054265, Average IOU: 0.9709
Epoch: 47, Average Loss: 0.052849, Average IOU: 0.9719
Epoch: 48, Average Loss: 0.052232, Average IOU: 0.9736
Epoch: 49, Average Loss: 0.051890, Average IOU: 0.9732
