Epoch: 1, Average Loss: 0.246771, Average IOU: 0.8989
Epoch: 2, Average Loss: 0.083292, Average IOU: 0.9670
Epoch: 3, Average Loss: 0.063039, Average IOU: 0.9755
Epoch: 4, Average Loss: 0.051301, Average IOU: 0.9801
Epoch: 5, Average Loss: 0.044469, Average IOU: 0.9839
Epoch: 6, Average Loss: 0.038764, Average IOU: 0.9866
Epoch: 7, Average Loss: 0.034294, Average IOU: 0.9883
Epoch: 8, Average Loss: 0.031011, Average IOU: 0.9895
Epoch: 9, Average Loss: 0.028762, Average IOU: 0.9902
Epoch: 10, Average Loss: 0.024463, Average IOU: 0.9922
Epoch: 11, Average Loss: 0.022481, Average IOU: 0.9926
Epoch: 12, Average Loss: 0.022455, Average IOU: 0.9930
Epoch: 13, Average Loss: 0.019767, Average IOU: 0.9950
Epoch: 14, Average Loss: 0.019382, Average IOU: 0.9945
Epoch: 15, Average Loss: 0.016189, Average IOU: 0.9958
Epoch: 16, Average Loss: 0.015428, Average IOU: 0.9955
Epoch: 17, Average Loss: 0.013851, Average IOU: 0.9962
Epoch: 18, Average Loss: 0.014025, Average IOU: 0.9960
Epoch: 19, Average Loss: 0.015430, Average IOU: 0.9951
Epoch: 20, Average Loss: 0.009882, Average IOU: 0.9972
Epoch: 21, Average Loss: 0.011287, Average IOU: 0.9969
Epoch: 22, Average Loss: 0.011819, Average IOU: 0.9970
Epoch: 23, Average Loss: 0.009396, Average IOU: 0.9977
Epoch: 24, Average Loss: 0.009589, Average IOU: 0.9977
Epoch: 25, Average Loss: 0.007849, Average IOU: 0.9977
Epoch: 26, Average Loss: 0.009024, Average IOU: 0.9977
Epoch: 27, Average Loss: 0.008377, Average IOU: 0.9981
Epoch: 28, Average Loss: 0.008350, Average IOU: 0.9980
Epoch: 29, Average Loss: 0.007490, Average IOU: 0.9981
Epoch: 30, Average Loss: 0.007234, Average IOU: 0.9980
Epoch: 31, Average Loss: 0.006936, Average IOU: 0.9982
Epoch: 32, Average Loss: 0.005335, Average IOU: 0.9986
Epoch: 33, Average Loss: 0.006539, Average IOU: 0.9984
Epoch: 34, Average Loss: 0.007411, Average IOU: 0.9985
Epoch: 35, Average Loss: 0.004798, Average IOU: 0.9989
Epoch: 36, Average Loss: 0.006049, Average IOU: 0.9987
Epoch: 37, Average Loss: 0.005271, Average IOU: 0.9988
Epoch: 38, Average Loss: 0.004750, Average IOU: 0.9987
Epoch: 39, Average Loss: 0.004862, Average IOU: 0.9990
Epoch: 40, Average Loss: 0.004595, Average IOU: 0.9986
Epoch: 41, Average Loss: 0.005188, Average IOU: 0.9988
Epoch: 42, Average Loss: 0.004959, Average IOU: 0.9989
Epoch: 43, Average Loss: 0.003435, Average IOU: 0.9992
Epoch: 44, Average Loss: 0.007109, Average IOU: 0.9987
Epoch: 45, Average Loss: 0.003191, Average IOU: 0.9993
Epoch: 46, Average Loss: 0.004217, Average IOU: 0.9992
Epoch: 47, Average Loss: 0.003448, Average IOU: 0.9992
Epoch: 48, Average Loss: 0.005459, Average IOU: 0.9986
Epoch: 49, Average Loss: 0.002642, Average IOU: 0.9994
Epoch: 50, Average Loss: 0.004240, Average IOU: 0.9995
Epoch: 51, Average Loss: 0.003637, Average IOU: 0.9993
Epoch: 52, Average Loss: 0.004332, Average IOU: 0.9993
Epoch: 53, Average Loss: 0.003551, Average IOU: 0.9991
Epoch: 54, Average Loss: 0.002153, Average IOU: 0.9993
Epoch: 55, Average Loss: 0.004456, Average IOU: 0.9993
Epoch: 56, Average Loss: 0.002404, Average IOU: 0.9995
Epoch: 57, Average Loss: 0.002617, Average IOU: 0.9997
Epoch: 58, Average Loss: 0.003046, Average IOU: 0.9994
Epoch: 59, Average Loss: 0.002416, Average IOU: 0.9992
Epoch: 60, Average Loss: 0.004577, Average IOU: 0.9988
Epoch: 61, Average Loss: 0.001431, Average IOU: 0.9997
Epoch: 62, Average Loss: 0.003809, Average IOU: 0.9992
Epoch: 63, Average Loss: 0.004261, Average IOU: 0.9994
Epoch: 64, Average Loss: 0.001776, Average IOU: 0.9997
Epoch: 65, Average Loss: 0.002835, Average IOU: 0.9992
Epoch: 66, Average Loss: 0.003177, Average IOU: 0.9992
Epoch: 67, Average Loss: 0.001784, Average IOU: 0.9994
Epoch: 68, Average Loss: 0.003886, Average IOU: 0.9993
Epoch: 69, Average Loss: 0.002232, Average IOU: 0.9995
Epoch: 70, Average Loss: 0.002302, Average IOU: 0.9996
Epoch: 71, Average Loss: 0.002986, Average IOU: 0.9995
Epoch: 72, Average Loss: 0.002523, Average IOU: 0.9997
Epoch: 73, Average Loss: 0.003178, Average IOU: 0.9993
Epoch: 74, Average Loss: 0.002724, Average IOU: 0.9995
Epoch: 75, Average Loss: 0.001118, Average IOU: 0.9997
Epoch: 76, Average Loss: 0.001294, Average IOU: 1.0000
Epoch: 77, Average Loss: 0.004172, Average IOU: 0.9991
Epoch: 78, Average Loss: 0.002515, Average IOU: 0.9995
Epoch: 79, Average Loss: 0.001929, Average IOU: 0.9999
Epoch: 80, Average Loss: 0.001140, Average IOU: 0.9998
Epoch: 81, Average Loss: 0.002073, Average IOU: 0.9997
Epoch: 82, Average Loss: 0.002598, Average IOU: 0.9993
Epoch: 83, Average Loss: 0.001672, Average IOU: 0.9997
Epoch: 84, Average Loss: 0.002188, Average IOU: 0.9996
Epoch: 85, Average Loss: 0.001845, Average IOU: 0.9996
Epoch: 86, Average Loss: 0.001549, Average IOU: 0.9997
Epoch: 87, Average Loss: 0.002017, Average IOU: 0.9996
Epoch: 88, Average Loss: 0.001080, Average IOU: 0.9997
Epoch: 89, Average Loss: 0.002987, Average IOU: 0.9992
Epoch: 90, Average Loss: 0.002245, Average IOU: 0.9997
Epoch: 91, Average Loss: 0.002805, Average IOU: 0.9996
Epoch: 92, Average Loss: 0.000815, Average IOU: 0.9997
Epoch: 93, Average Loss: 0.001283, Average IOU: 0.9999
Epoch: 94, Average Loss: 0.002505, Average IOU: 0.9997
Epoch: 95, Average Loss: 0.001983, Average IOU: 0.9993
Epoch: 96, Average Loss: 0.002023, Average IOU: 0.9995
Epoch: 97, Average Loss: 0.002399, Average IOU: 0.9996
Epoch: 98, Average Loss: 0.001622, Average IOU: 0.9999
Epoch: 99, Average Loss: 0.000797, Average IOU: 0.9999
Epoch: 100, Average Loss: 0.000751, Average IOU: 0.9997

