Epoch: 1, Average Loss: 0.732771, Average IOU: 0.7988
Epoch: 2, Average Loss: 0.232109, Average IOU: 0.9375
Epoch: 3, Average Loss: 0.155015, Average IOU: 0.9573
Epoch: 4, Average Loss: 0.118210, Average IOU: 0.9676
Epoch: 5, Average Loss: 0.096276, Average IOU: 0.9729
Epoch: 6, Average Loss: 0.081052, Average IOU: 0.9773
Epoch: 7, Average Loss: 0.069312, Average IOU: 0.9814
Epoch: 8, Average Loss: 0.060581, Average IOU: 0.9840
Epoch: 9, Average Loss: 0.053076, Average IOU: 0.9861
Epoch: 10, Average Loss: 0.046491, Average IOU: 0.9884
Epoch: 11, Average Loss: 0.040753, Average IOU: 0.9898
Epoch: 12, Average Loss: 0.037149, Average IOU: 0.9911
Epoch: 13, Average Loss: 0.032599, Average IOU: 0.9927
Epoch: 14, Average Loss: 0.029883, Average IOU: 0.9933
Epoch: 15, Average Loss: 0.026544, Average IOU: 0.9943
Epoch: 16, Average Loss: 0.024475, Average IOU: 0.9947
Epoch: 17, Average Loss: 0.021242, Average IOU: 0.9959
Epoch: 18, Average Loss: 0.019848, Average IOU: 0.9966
Epoch: 19, Average Loss: 0.017777, Average IOU: 0.9966
Epoch: 20, Average Loss: 0.016271, Average IOU: 0.9973
Epoch: 21, Average Loss: 0.015192, Average IOU: 0.9977
Epoch: 22, Average Loss: 0.013953, Average IOU: 0.9981
Epoch: 23, Average Loss: 0.013469, Average IOU: 0.9981
Epoch: 24, Average Loss: 0.012441, Average IOU: 0.9985
Epoch: 25, Average Loss: 0.011692, Average IOU: 0.9985
Epoch: 26, Average Loss: 0.010727, Average IOU: 0.9987
Epoch: 27, Average Loss: 0.009683, Average IOU: 0.9991
Epoch: 28, Average Loss: 0.009126, Average IOU: 0.9991
Epoch: 29, Average Loss: 0.008768, Average IOU: 0.9992
Epoch: 30, Average Loss: 0.007999, Average IOU: 0.9995
Epoch: 31, Average Loss: 0.007473, Average IOU: 0.9994
Epoch: 32, Average Loss: 0.007250, Average IOU: 0.9995
Epoch: 33, Average Loss: 0.006706, Average IOU: 0.9997
Epoch: 34, Average Loss: 0.006524, Average IOU: 0.9996
Epoch: 35, Average Loss: 0.006445, Average IOU: 0.9995
Epoch: 36, Average Loss: 0.006058, Average IOU: 0.9996
Epoch: 37, Average Loss: 0.005461, Average IOU: 0.9998
Epoch: 38, Average Loss: 0.005400, Average IOU: 0.9997
Epoch: 39, Average Loss: 0.005053, Average IOU: 0.9997
Epoch: 40, Average Loss: 0.004927, Average IOU: 0.9999
Epoch: 41, Average Loss: 0.004545, Average IOU: 0.9997
Epoch: 42, Average Loss: 0.004468, Average IOU: 0.9998
Epoch: 43, Average Loss: 0.004349, Average IOU: 0.9998
Epoch: 44, Average Loss: 0.004091, Average IOU: 0.9999
Epoch: 45, Average Loss: 0.003878, Average IOU: 0.9999
Epoch: 46, Average Loss: 0.003941, Average IOU: 0.9998
Epoch: 47, Average Loss: 0.003776, Average IOU: 0.9999
Epoch: 48, Average Loss: 0.003733, Average IOU: 0.9998
Epoch: 49, Average Loss: 0.003517, Average IOU: 0.9999
Epoch: 50, Average Loss: 0.003339, Average IOU: 0.9999
Epoch: 51, Average Loss: 0.003233, Average IOU: 0.9999
Epoch: 52, Average Loss: 0.003216, Average IOU: 0.9999
Epoch: 53, Average Loss: 0.002880, Average IOU: 0.9999
Epoch: 54, Average Loss: 0.003065, Average IOU: 0.9999
Epoch: 55, Average Loss: 0.002875, Average IOU: 0.9999
Epoch: 56, Average Loss: 0.002693, Average IOU: 1.0000
Epoch: 57, Average Loss: 0.002796, Average IOU: 1.0000
Epoch: 58, Average Loss: 0.002690, Average IOU: 0.9999
Epoch: 59, Average Loss: 0.002606, Average IOU: 1.0000
Epoch: 60, Average Loss: 0.002415, Average IOU: 1.0000
Epoch: 61, Average Loss: 0.002546, Average IOU: 0.9999
Epoch: 62, Average Loss: 0.002459, Average IOU: 0.9999
Epoch: 63, Average Loss: 0.002448, Average IOU: 0.9999
Epoch: 64, Average Loss: 0.002204, Average IOU: 0.9999
Epoch: 65, Average Loss: 0.002431, Average IOU: 0.9999
Epoch: 66, Average Loss: 0.002208, Average IOU: 0.9999
Epoch: 67, Average Loss: 0.002173, Average IOU: 1.0000
Epoch: 68, Average Loss: 0.002030, Average IOU: 1.0000
Epoch: 69, Average Loss: 0.002021, Average IOU: 1.0000
Epoch: 70, Average Loss: 0.002152, Average IOU: 0.9999
