Epoch: 1, Average Loss: 0.131295, Average IOU: 0.9826
Epoch: 2, Average Loss: 0.058046, Average IOU: 0.9904
Epoch: 3, Average Loss: 0.041350, Average IOU: 0.9939
Epoch: 4, Average Loss: 0.034719, Average IOU: 0.9945
Epoch: 5, Average Loss: 0.027698, Average IOU: 0.9964
Epoch: 6, Average Loss: 0.029934, Average IOU: 0.9963
Epoch: 7, Average Loss: 0.022046, Average IOU: 0.9973
Epoch: 8, Average Loss: 0.022184, Average IOU: 0.9974
Epoch: 9, Average Loss: 0.019208, Average IOU: 0.9981
Epoch: 10, Average Loss: 0.017308, Average IOU: 0.9982
Epoch: 11, Average Loss: 0.017101, Average IOU: 0.9982
Epoch: 12, Average Loss: 0.015151, Average IOU: 0.9985
Epoch: 13, Average Loss: 0.013237, Average IOU: 0.9988
Epoch: 14, Average Loss: 0.014709, Average IOU: 0.9986
Epoch: 15, Average Loss: 0.011357, Average IOU: 0.9988
Epoch: 16, Average Loss: 0.010099, Average IOU: 0.9991
Epoch: 17, Average Loss: 0.008232, Average IOU: 0.9991
Epoch: 18, Average Loss: 0.010247, Average IOU: 0.9992
Epoch: 19, Average Loss: 0.011163, Average IOU: 0.9991
Epoch: 20, Average Loss: 0.007186, Average IOU: 0.9994
Epoch: 21, Average Loss: 0.006359, Average IOU: 0.9995
Epoch: 22, Average Loss: 0.007599, Average IOU: 0.9996
Epoch: 23, Average Loss: 0.006660, Average IOU: 0.9996
Epoch: 24, Average Loss: 0.007092, Average IOU: 0.9994
Epoch: 25, Average Loss: 0.004978, Average IOU: 0.9996
Epoch: 26, Average Loss: 0.006904, Average IOU: 0.9997
Epoch: 27, Average Loss: 0.006519, Average IOU: 0.9996
Epoch: 28, Average Loss: 0.004795, Average IOU: 0.9998
Epoch: 29, Average Loss: 0.005103, Average IOU: 0.9997
Epoch: 30, Average Loss: 0.004236, Average IOU: 0.9997
Epoch: 31, Average Loss: 0.004600, Average IOU: 0.9998
Epoch: 32, Average Loss: 0.004334, Average IOU: 0.9997
Epoch: 33, Average Loss: 0.005107, Average IOU: 0.9998
Epoch: 34, Average Loss: 0.004383, Average IOU: 0.9998
Epoch: 35, Average Loss: 0.004251, Average IOU: 0.9998
