Epoch: 1, Average Loss: 2.297786, Average IOU: 0.2284
Epoch: 2, Average Loss: 2.289306, Average IOU: 0.3007
Epoch: 3, Average Loss: 2.278501, Average IOU: 0.3343
Epoch: 4, Average Loss: 2.263526, Average IOU: 0.3450
Epoch: 5, Average Loss: 2.239321, Average IOU: 0.3492
Epoch: 6, Average Loss: 2.192664, Average IOU: 0.3490
Epoch: 7, Average Loss: 2.085722, Average IOU: 0.3587
Epoch: 8, Average Loss: 1.810505, Average IOU: 0.3975
Epoch: 9, Average Loss: 1.281137, Average IOU: 0.5665
Epoch: 10, Average Loss: 0.820433, Average IOU: 0.6824
Epoch: 11, Average Loss: 0.607268, Average IOU: 0.7337
Epoch: 12, Average Loss: 0.510324, Average IOU: 0.7642
Epoch: 13, Average Loss: 0.453134, Average IOU: 0.7867
Epoch: 14, Average Loss: 0.412783, Average IOU: 0.8050
Epoch: 15, Average Loss: 0.381374, Average IOU: 0.8155
Epoch: 16, Average Loss: 0.354774, Average IOU: 0.8302
Epoch: 17, Average Loss: 0.332240, Average IOU: 0.8386
Epoch: 18, Average Loss: 0.312729, Average IOU: 0.8491
Epoch: 19, Average Loss: 0.295238, Average IOU: 0.8556
Epoch: 20, Average Loss: 0.279894, Average IOU: 0.8617
Epoch: 21, Average Loss: 0.266114, Average IOU: 0.8698
Epoch: 22, Average Loss: 0.253801, Average IOU: 0.8744
Epoch: 23, Average Loss: 0.242403, Average IOU: 0.8808
Epoch: 24, Average Loss: 0.232457, Average IOU: 0.8853
Epoch: 25, Average Loss: 0.223009, Average IOU: 0.8894
Epoch: 26, Average Loss: 0.214423, Average IOU: 0.8938
Epoch: 27, Average Loss: 0.206154, Average IOU: 0.8977
Epoch: 28, Average Loss: 0.198760, Average IOU: 0.9000
Epoch: 29, Average Loss: 0.192026, Average IOU: 0.9047
Epoch: 30, Average Loss: 0.185536, Average IOU: 0.9072
Epoch: 31, Average Loss: 0.179481, Average IOU: 0.9106
Epoch: 32, Average Loss: 0.173855, Average IOU: 0.9138
Epoch: 33, Average Loss: 0.168776, Average IOU: 0.9154
Epoch: 34, Average Loss: 0.163817, Average IOU: 0.9178
Epoch: 35, Average Loss: 0.158958, Average IOU: 0.9212
Epoch: 36, Average Loss: 0.155000, Average IOU: 0.9228
Epoch: 37, Average Loss: 0.151055, Average IOU: 0.9238
Epoch: 38, Average Loss: 0.147115, Average IOU: 0.9263
Epoch: 39, Average Loss: 0.143424, Average IOU: 0.9276
Epoch: 40, Average Loss: 0.140229, Average IOU: 0.9295
Epoch: 41, Average Loss: 0.136872, Average IOU: 0.9313
Epoch: 42, Average Loss: 0.134043, Average IOU: 0.9320
Epoch: 43, Average Loss: 0.131302, Average IOU: 0.9347
Epoch: 44, Average Loss: 0.128661, Average IOU: 0.9357
Epoch: 45, Average Loss: 0.126209, Average IOU: 0.9355
Epoch: 46, Average Loss: 0.123725, Average IOU: 0.9378
Epoch: 47, Average Loss: 0.121503, Average IOU: 0.9384
Epoch: 48, Average Loss: 0.119579, Average IOU: 0.9383
Epoch: 49, Average Loss: 0.117400, Average IOU: 0.9385
Epoch: 50, Average Loss: 0.115356, Average IOU: 0.9404
Epoch: 51, Average Loss: 0.113642, Average IOU: 0.9413
Epoch: 52, Average Loss: 0.111746, Average IOU: 0.9427
Epoch: 53, Average Loss: 0.110173, Average IOU: 0.9434
Epoch: 54, Average Loss: 0.108811, Average IOU: 0.9434
Epoch: 55, Average Loss: 0.106925, Average IOU: 0.9445
Epoch: 56, Average Loss: 0.105657, Average IOU: 0.9459
Epoch: 57, Average Loss: 0.104232, Average IOU: 0.9463
Epoch: 58, Average Loss: 0.102856, Average IOU: 0.9466
Epoch: 59, Average Loss: 0.101598, Average IOU: 0.9478
Epoch: 60, Average Loss: 0.100421, Average IOU: 0.9480
Epoch: 61, Average Loss: 0.099179, Average IOU: 0.9488
Epoch: 62, Average Loss: 0.098165, Average IOU: 0.9493
Epoch: 63, Average Loss: 0.097112, Average IOU: 0.9507
Epoch: 64, Average Loss: 0.095886, Average IOU: 0.9504
Epoch: 65, Average Loss: 0.094630, Average IOU: 0.9507
Epoch: 66, Average Loss: 0.093623, Average IOU: 0.9509
Epoch: 67, Average Loss: 0.092571, Average IOU: 0.9534
Epoch: 68, Average Loss: 0.091566, Average IOU: 0.9534
Epoch: 69, Average Loss: 0.090922, Average IOU: 0.9527
Epoch: 70, Average Loss: 0.090015, Average IOU: 0.9542
Epoch: 71, Average Loss: 0.089213, Average IOU: 0.9535
Epoch: 72, Average Loss: 0.088154, Average IOU: 0.9539
Epoch: 73, Average Loss: 0.087234, Average IOU: 0.9556
Epoch: 74, Average Loss: 0.086408, Average IOU: 0.9554
Epoch: 75, Average Loss: 0.085610, Average IOU: 0.9552
Epoch: 76, Average Loss: 0.084729, Average IOU: 0.9572
Epoch: 77, Average Loss: 0.084068, Average IOU: 0.9563
Epoch: 78, Average Loss: 0.083295, Average IOU: 0.9570
Epoch: 79, Average Loss: 0.082639, Average IOU: 0.9573
Epoch: 80, Average Loss: 0.081774, Average IOU: 0.9582
Epoch: 81, Average Loss: 0.081151, Average IOU: 0.9579
Epoch: 82, Average Loss: 0.080386, Average IOU: 0.9578
Epoch: 83, Average Loss: 0.079769, Average IOU: 0.9587
Epoch: 84, Average Loss: 0.079212, Average IOU: 0.9586
Epoch: 85, Average Loss: 0.078245, Average IOU: 0.9592
Epoch: 86, Average Loss: 0.077706, Average IOU: 0.9599
