Epoch: 1, Average Loss: 0.147410, Average IOU: 0.9296
Epoch: 2, Average Loss: 0.054465, Average IOU: 0.9729
Epoch: 3, Average Loss: 0.040351, Average IOU: 0.9796
Epoch: 4, Average Loss: 0.033220, Average IOU: 0.9826
Epoch: 5, Average Loss: 0.026551, Average IOU: 0.9863
Epoch: 6, Average Loss: 0.023963, Average IOU: 0.9884
Epoch: 7, Average Loss: 0.020659, Average IOU: 0.9893
Epoch: 8, Average Loss: 0.018606, Average IOU: 0.9911
Epoch: 9, Average Loss: 0.017546, Average IOU: 0.9909
Epoch: 10, Average Loss: 0.013559, Average IOU: 0.9931
Epoch: 11, Average Loss: 0.013159, Average IOU: 0.9933
Epoch: 12, Average Loss: 0.011402, Average IOU: 0.9947
Epoch: 13, Average Loss: 0.010985, Average IOU: 0.9943
Epoch: 14, Average Loss: 0.009144, Average IOU: 0.9955
Epoch: 15, Average Loss: 0.008025, Average IOU: 0.9955
Epoch: 16, Average Loss: 0.008549, Average IOU: 0.9958
Epoch: 17, Average Loss: 0.006756, Average IOU: 0.9966
Epoch: 18, Average Loss: 0.007427, Average IOU: 0.9961
Epoch: 19, Average Loss: 0.006693, Average IOU: 0.9966
Epoch: 20, Average Loss: 0.005596, Average IOU: 0.9965
Epoch: 21, Average Loss: 0.006219, Average IOU: 0.9965
Epoch: 22, Average Loss: 0.006234, Average IOU: 0.9967
Epoch: 23, Average Loss: 0.004413, Average IOU: 0.9980
Epoch: 24, Average Loss: 0.004285, Average IOU: 0.9977
Epoch: 25, Average Loss: 0.005619, Average IOU: 0.9974
Epoch: 26, Average Loss: 0.004346, Average IOU: 0.9980
Epoch: 27, Average Loss: 0.003708, Average IOU: 0.9978
Epoch: 28, Average Loss: 0.004520, Average IOU: 0.9981
Epoch: 29, Average Loss: 0.004444, Average IOU: 0.9978
Epoch: 30, Average Loss: 0.002805, Average IOU: 0.9987
Epoch: 31, Average Loss: 0.003299, Average IOU: 0.9986
Epoch: 32, Average Loss: 0.002847, Average IOU: 0.9988
Epoch: 33, Average Loss: 0.003087, Average IOU: 0.9989
Epoch: 34, Average Loss: 0.003425, Average IOU: 0.9984
Epoch: 35, Average Loss: 0.002606, Average IOU: 0.9990
