Epoch: 1, Average Loss: 2.297786, Average IOU: 0.2284
Epoch: 2, Average Loss: 2.289306, Average IOU: 0.3007
Epoch: 3, Average Loss: 2.278501, Average IOU: 0.3343
Epoch: 4, Average Loss: 2.263526, Average IOU: 0.3450
Epoch: 5, Average Loss: 2.239321, Average IOU: 0.3492
Epoch: 6, Average Loss: 2.192668, Average IOU: 0.3490
Epoch: 7, Average Loss: 2.085730, Average IOU: 0.3586
Epoch: 8, Average Loss: 1.810487, Average IOU: 0.3975
Epoch: 9, Average Loss: 1.281063, Average IOU: 0.5665
Epoch: 10, Average Loss: 0.820399, Average IOU: 0.6825
Epoch: 11, Average Loss: 0.607263, Average IOU: 0.7337
Epoch: 12, Average Loss: 0.510316, Average IOU: 0.7641
Epoch: 13, Average Loss: 0.453130, Average IOU: 0.7866
Epoch: 14, Average Loss: 0.412782, Average IOU: 0.8050
Epoch: 15, Average Loss: 0.381381, Average IOU: 0.8155
Epoch: 16, Average Loss: 0.354785, Average IOU: 0.8302
Epoch: 17, Average Loss: 0.332248, Average IOU: 0.8386
Epoch: 18, Average Loss: 0.312733, Average IOU: 0.8491
Epoch: 19, Average Loss: 0.295244, Average IOU: 0.8557
Epoch: 20, Average Loss: 0.279893, Average IOU: 0.8615
Epoch: 21, Average Loss: 0.266104, Average IOU: 0.8698
Epoch: 22, Average Loss: 0.253787, Average IOU: 0.8744
Epoch: 23, Average Loss: 0.242385, Average IOU: 0.8809
Epoch: 24, Average Loss: 0.232439, Average IOU: 0.8853
Epoch: 25, Average Loss: 0.222995, Average IOU: 0.8895
Epoch: 26, Average Loss: 0.214409, Average IOU: 0.8938
Epoch: 27, Average Loss: 0.206148, Average IOU: 0.8976
Epoch: 28, Average Loss: 0.198753, Average IOU: 0.9001
Epoch: 29, Average Loss: 0.192020, Average IOU: 0.9047
Epoch: 30, Average Loss: 0.185534, Average IOU: 0.9072
Epoch: 31, Average Loss: 0.179470, Average IOU: 0.9105
Epoch: 32, Average Loss: 0.173843, Average IOU: 0.9139
Epoch: 33, Average Loss: 0.168761, Average IOU: 0.9153
Epoch: 34, Average Loss: 0.163800, Average IOU: 0.9178
Epoch: 35, Average Loss: 0.158956, Average IOU: 0.9211
Epoch: 36, Average Loss: 0.155000, Average IOU: 0.9227
Epoch: 37, Average Loss: 0.151056, Average IOU: 0.9237
Epoch: 38, Average Loss: 0.147117, Average IOU: 0.9263
Epoch: 39, Average Loss: 0.143427, Average IOU: 0.9278
Epoch: 40, Average Loss: 0.140229, Average IOU: 0.9296
Epoch: 41, Average Loss: 0.136877, Average IOU: 0.9313
Epoch: 42, Average Loss: 0.134042, Average IOU: 0.9318
Epoch: 43, Average Loss: 0.131298, Average IOU: 0.9346
Epoch: 44, Average Loss: 0.128661, Average IOU: 0.9355
Epoch: 45, Average Loss: 0.126203, Average IOU: 0.9354
Epoch: 46, Average Loss: 0.123724, Average IOU: 0.9378
Epoch: 47, Average Loss: 0.121503, Average IOU: 0.9384
Epoch: 48, Average Loss: 0.119576, Average IOU: 0.9381
Epoch: 49, Average Loss: 0.117401, Average IOU: 0.9387
Epoch: 50, Average Loss: 0.115360, Average IOU: 0.9404
Epoch: 51, Average Loss: 0.113642, Average IOU: 0.9412
Epoch: 52, Average Loss: 0.111743, Average IOU: 0.9425
Epoch: 53, Average Loss: 0.110174, Average IOU: 0.9436
Epoch: 54, Average Loss: 0.108809, Average IOU: 0.9436
Epoch: 55, Average Loss: 0.106923, Average IOU: 0.9444
Epoch: 56, Average Loss: 0.105661, Average IOU: 0.9458
Epoch: 57, Average Loss: 0.104236, Average IOU: 0.9463
Epoch: 58, Average Loss: 0.102862, Average IOU: 0.9467
Epoch: 59, Average Loss: 0.101600, Average IOU: 0.9479
Epoch: 60, Average Loss: 0.100423, Average IOU: 0.9479
Epoch: 61, Average Loss: 0.099185, Average IOU: 0.9487
Epoch: 62, Average Loss: 0.098168, Average IOU: 0.9493
Epoch: 63, Average Loss: 0.097117, Average IOU: 0.9506
Epoch: 64, Average Loss: 0.095893, Average IOU: 0.9505
Epoch: 65, Average Loss: 0.094630, Average IOU: 0.9508
Epoch: 66, Average Loss: 0.093624, Average IOU: 0.9508
Epoch: 67, Average Loss: 0.092574, Average IOU: 0.9535
Epoch: 68, Average Loss: 0.091580, Average IOU: 0.9534
Epoch: 69, Average Loss: 0.090923, Average IOU: 0.9529
Epoch: 70, Average Loss: 0.090021, Average IOU: 0.9541
Epoch: 71, Average Loss: 0.089225, Average IOU: 0.9535
Epoch: 72, Average Loss: 0.088161, Average IOU: 0.9538
Epoch: 73, Average Loss: 0.087243, Average IOU: 0.9556
Epoch: 74, Average Loss: 0.086409, Average IOU: 0.9552
Epoch: 75, Average Loss: 0.085607, Average IOU: 0.9554
Epoch: 76, Average Loss: 0.084730, Average IOU: 0.9571
Epoch: 77, Average Loss: 0.084070, Average IOU: 0.9565
Epoch: 78, Average Loss: 0.083300, Average IOU: 0.9571
Epoch: 79, Average Loss: 0.082638, Average IOU: 0.9574
Epoch: 80, Average Loss: 0.081781, Average IOU: 0.9583
Epoch: 81, Average Loss: 0.081151, Average IOU: 0.9579
Epoch: 82, Average Loss: 0.080388, Average IOU: 0.9579
Epoch: 83, Average Loss: 0.079772, Average IOU: 0.9588
Epoch: 84, Average Loss: 0.079221, Average IOU: 0.9586
Epoch: 85, Average Loss: 0.078246, Average IOU: 0.9591
Epoch: 86, Average Loss: 0.077717, Average IOU: 0.9600
