Epoch: 1, Average Loss: 0.144231, Average IOU: 0.9324
Epoch: 2, Average Loss: 0.045871, Average IOU: 0.9753
Epoch: 3, Average Loss: 0.033111, Average IOU: 0.9832
Epoch: 4, Average Loss: 0.025687, Average IOU: 0.9859
Epoch: 5, Average Loss: 0.020315, Average IOU: 0.9892
Epoch: 6, Average Loss: 0.016754, Average IOU: 0.9904
Epoch: 7, Average Loss: 0.014292, Average IOU: 0.9931
Epoch: 8, Average Loss: 0.010797, Average IOU: 0.9946
Epoch: 9, Average Loss: 0.010715, Average IOU: 0.9950
Epoch: 10, Average Loss: 0.008265, Average IOU: 0.9962
Epoch: 11, Average Loss: 0.006878, Average IOU: 0.9969
Epoch: 12, Average Loss: 0.006753, Average IOU: 0.9968
Epoch: 13, Average Loss: 0.005713, Average IOU: 0.9977
Epoch: 14, Average Loss: 0.005582, Average IOU: 0.9977
Epoch: 15, Average Loss: 0.004514, Average IOU: 0.9983
Epoch: 16, Average Loss: 0.003527, Average IOU: 0.9989
Epoch: 17, Average Loss: 0.003714, Average IOU: 0.9985
Epoch: 18, Average Loss: 0.003220, Average IOU: 0.9986
Epoch: 19, Average Loss: 0.002924, Average IOU: 0.9988
Epoch: 20, Average Loss: 0.003800, Average IOU: 0.9986
Epoch: 21, Average Loss: 0.002006, Average IOU: 0.9993
Epoch: 22, Average Loss: 0.002334, Average IOU: 0.9990
Epoch: 23, Average Loss: 0.002814, Average IOU: 0.9989
Epoch: 24, Average Loss: 0.001924, Average IOU: 0.9991
Epoch: 25, Average Loss: 0.001454, Average IOU: 0.9995
Epoch: 26, Average Loss: 0.002125, Average IOU: 0.9991
Epoch: 27, Average Loss: 0.002112, Average IOU: 0.9994
Epoch: 28, Average Loss: 0.001596, Average IOU: 0.9992
Epoch: 29, Average Loss: 0.001635, Average IOU: 0.9994
Epoch: 30, Average Loss: 0.001203, Average IOU: 0.9997
Epoch: 31, Average Loss: 0.002494, Average IOU: 0.9989
Epoch: 32, Average Loss: 0.001552, Average IOU: 0.9992
Epoch: 33, Average Loss: 0.001027, Average IOU: 0.9998
Epoch: 34, Average Loss: 0.000838, Average IOU: 0.9997
Epoch: 35, Average Loss: 0.001570, Average IOU: 0.9995
Epoch: 36, Average Loss: 0.001007, Average IOU: 0.9996
Epoch: 37, Average Loss: 0.000824, Average IOU: 0.9996
Epoch: 38, Average Loss: 0.001909, Average IOU: 0.9993
Epoch: 39, Average Loss: 0.001260, Average IOU: 0.9994
Epoch: 40, Average Loss: 0.000790, Average IOU: 0.9997
Epoch: 41, Average Loss: 0.001610, Average IOU: 0.9994
Epoch: 42, Average Loss: 0.000834, Average IOU: 0.9997
Epoch: 43, Average Loss: 0.001050, Average IOU: 0.9997
Epoch: 44, Average Loss: 0.000710, Average IOU: 0.9997
Epoch: 45, Average Loss: 0.000779, Average IOU: 0.9998
Epoch: 46, Average Loss: 0.000878, Average IOU: 0.9998
Epoch: 47, Average Loss: 0.001072, Average IOU: 0.9996
Epoch: 48, Average Loss: 0.000416, Average IOU: 0.9999
Epoch: 49, Average Loss: 0.001573, Average IOU: 0.9993
Epoch: 50, Average Loss: 0.000876, Average IOU: 0.9997
Epoch: 51, Average Loss: 0.000294, Average IOU: 0.9999
Epoch: 52, Average Loss: 0.001317, Average IOU: 0.9995
Epoch: 53, Average Loss: 0.000826, Average IOU: 0.9996
Epoch: 54, Average Loss: 0.000822, Average IOU: 0.9998
Epoch: 55, Average Loss: 0.000931, Average IOU: 0.9995
Epoch: 56, Average Loss: 0.000721, Average IOU: 0.9997
Epoch: 57, Average Loss: 0.000971, Average IOU: 0.9996
Epoch: 58, Average Loss: 0.000637, Average IOU: 0.9998
Epoch: 59, Average Loss: 0.000277, Average IOU: 0.9999
