Epoch: 1, Average Loss: 0.086571, Average IOU: 0.9748
Epoch: 2, Average Loss: 0.035175, Average IOU: 0.9900
Epoch: 3, Average Loss: 0.023822, Average IOU: 0.9934
Epoch: 4, Average Loss: 0.019854, Average IOU: 0.9948
Epoch: 5, Average Loss: 0.016499, Average IOU: 0.9957
Epoch: 6, Average Loss: 0.014802, Average IOU: 0.9960
Epoch: 7, Average Loss: 0.010944, Average IOU: 0.9974
Epoch: 8, Average Loss: 0.011555, Average IOU: 0.9973
Epoch: 9, Average Loss: 0.009200, Average IOU: 0.9977
Epoch: 10, Average Loss: 0.007907, Average IOU: 0.9981
Epoch: 11, Average Loss: 0.007110, Average IOU: 0.9983
Epoch: 12, Average Loss: 0.006828, Average IOU: 0.9982
Epoch: 13, Average Loss: 0.005054, Average IOU: 0.9989
Epoch: 14, Average Loss: 0.005413, Average IOU: 0.9989
Epoch: 15, Average Loss: 0.004546, Average IOU: 0.9989
Epoch: 16, Average Loss: 0.003924, Average IOU: 0.9991
Epoch: 17, Average Loss: 0.003869, Average IOU: 0.9992
Epoch: 18, Average Loss: 0.003752, Average IOU: 0.9992
Epoch: 19, Average Loss: 0.003264, Average IOU: 0.9993
Epoch: 20, Average Loss: 0.002462, Average IOU: 0.9995
Epoch: 21, Average Loss: 0.002735, Average IOU: 0.9994
Epoch: 22, Average Loss: 0.002139, Average IOU: 0.9996
Epoch: 23, Average Loss: 0.002331, Average IOU: 0.9993
Epoch: 24, Average Loss: 0.002085, Average IOU: 0.9996
Epoch: 25, Average Loss: 0.002232, Average IOU: 0.9995
Epoch: 26, Average Loss: 0.001837, Average IOU: 0.9996
Epoch: 27, Average Loss: 0.002406, Average IOU: 0.9996
Epoch: 28, Average Loss: 0.001001, Average IOU: 0.9999
Epoch: 29, Average Loss: 0.001337, Average IOU: 0.9998
Epoch: 30, Average Loss: 0.001876, Average IOU: 0.9997
Epoch: 31, Average Loss: 0.000542, Average IOU: 0.9999
Epoch: 32, Average Loss: 0.001298, Average IOU: 0.9996
Epoch: 33, Average Loss: 0.001685, Average IOU: 0.9997
Epoch: 34, Average Loss: 0.001334, Average IOU: 0.9997
Epoch: 35, Average Loss: 0.000994, Average IOU: 0.9999
Epoch: 36, Average Loss: 0.000949, Average IOU: 0.9998
Epoch: 37, Average Loss: 0.001002, Average IOU: 0.9999
Epoch: 38, Average Loss: 0.001088, Average IOU: 0.9998
Epoch: 39, Average Loss: 0.000794, Average IOU: 0.9998
Epoch: 40, Average Loss: 0.000560, Average IOU: 0.9999
Epoch: 41, Average Loss: 0.001017, Average IOU: 0.9998
Epoch: 42, Average Loss: 0.000560, Average IOU: 1.0000
Epoch: 43, Average Loss: 0.000957, Average IOU: 0.9998
Epoch: 44, Average Loss: 0.000520, Average IOU: 0.9999
Epoch: 45, Average Loss: 0.000671, Average IOU: 0.9999
Epoch: 46, Average Loss: 0.000478, Average IOU: 1.0000
Epoch: 47, Average Loss: 0.000707, Average IOU: 0.9999
Epoch: 48, Average Loss: 0.000509, Average IOU: 0.9999
Epoch: 49, Average Loss: 0.000598, Average IOU: 0.9999
Epoch: 50, Average Loss: 0.000980, Average IOU: 0.9997
Epoch: 51, Average Loss: 0.000212, Average IOU: 1.0000
Epoch: 52, Average Loss: 0.000737, Average IOU: 0.9999
Epoch: 53, Average Loss: 0.000660, Average IOU: 0.9999
Epoch: 54, Average Loss: 0.000204, Average IOU: 1.0000
Epoch: 55, Average Loss: 0.000142, Average IOU: 1.0000
Epoch: 56, Average Loss: 0.000729, Average IOU: 0.9999
Epoch: 57, Average Loss: 0.000777, Average IOU: 0.9998
Epoch: 58, Average Loss: 0.000943, Average IOU: 0.9999
Epoch: 59, Average Loss: 0.000494, Average IOU: 0.9999
Epoch: 60, Average Loss: 0.000425, Average IOU: 1.0000
Epoch: 61, Average Loss: 0.000372, Average IOU: 0.9999
Epoch: 62, Average Loss: 0.000568, Average IOU: 0.9999
Epoch: 63, Average Loss: 0.000633, Average IOU: 0.9999
Epoch: 64, Average Loss: 0.000317, Average IOU: 1.0000
Epoch: 65, Average Loss: 0.000315, Average IOU: 1.0000
Epoch: 66, Average Loss: 0.000503, Average IOU: 0.9999
Epoch: 67, Average Loss: 0.000350, Average IOU: 0.9999
Epoch: 68, Average Loss: 0.000397, Average IOU: 1.0000
Epoch: 69, Average Loss: 0.000326, Average IOU: 0.9999
Epoch: 70, Average Loss: 0.000188, Average IOU: 1.0000
Epoch: 71, Average Loss: 0.000533, Average IOU: 0.9999
Epoch: 72, Average Loss: 0.000394, Average IOU: 0.9999
Epoch: 73, Average Loss: 0.000307, Average IOU: 1.0000
Epoch: 74, Average Loss: 0.000106, Average IOU: 1.0000
Epoch: 75, Average Loss: 0.000503, Average IOU: 0.9999
Epoch: 76, Average Loss: 0.000321, Average IOU: 0.9999
Epoch: 77, Average Loss: 0.000134, Average IOU: 1.0000
Epoch: 78, Average Loss: 0.000472, Average IOU: 0.9999
Epoch: 79, Average Loss: 0.000236, Average IOU: 1.0000
Epoch: 80, Average Loss: 0.000260, Average IOU: 0.9999
Epoch: 81, Average Loss: 0.000409, Average IOU: 0.9999
Epoch: 82, Average Loss: 0.000137, Average IOU: 1.0000
Epoch: 83, Average Loss: 0.000044, Average IOU: 1.0000
Epoch: 84, Average Loss: 0.000197, Average IOU: 1.0000
Epoch: 85, Average Loss: 0.000233, Average IOU: 1.0000
Epoch: 86, Average Loss: 0.000476, Average IOU: 0.9999
Epoch: 87, Average Loss: 0.000411, Average IOU: 1.0000
Epoch: 88, Average Loss: 0.000333, Average IOU: 1.0000
Epoch: 89, Average Loss: 0.000176, Average IOU: 1.0000
Epoch: 90, Average Loss: 0.000702, Average IOU: 0.9998
Epoch: 91, Average Loss: 0.000338, Average IOU: 1.0000
Epoch: 92, Average Loss: 0.000130, Average IOU: 1.0000
Epoch: 93, Average Loss: 0.000156, Average IOU: 1.0000
Epoch: 94, Average Loss: 0.000311, Average IOU: 1.0000
